U_B / V	U_A / V
0.0	0.0
0.0	0.0
0.1	0.0
0.4	0.0
0.6	0.0
0.8	0.0
1.1	0.0
1.2	0.0
1.4	0.0
1.7	0.0
1.9	0.0
2.1	0.0
2.3	0.0
2.5	0.0
2.8	0.0
2.9	0.0
3.1	0.0
3.4	0.0
3.6	0.0
3.9	0.0
4.0	0.0
4.2	0.0
4.5	0.0
4.7	0.0
5.0	0.0
5.1	0.0
5.4	0.0
5.6	0.0
5.8	0.0
5.9	0.0
6.2	0.0
6.4	0.1
6.7	0.1
6.8	0.1
7.0	0.1
7.3	0.1
7.5	0.1
7.8	0.1
8.0	0.1
8.1	0.1
8.3	0.1
8.6	0.1
8.8	0.1
9.1	0.1
9.3	0.1
9.4	0.1
9.7	0.1
9.9	0.1
10.1	0.1
10.3	0.1
10.5	0.1
10.8	0.2
10.9	0.2
11.2	0.3
11.4	0.3
11.6	0.3
11.8	0.4
12.1	0.3
12.3	0.3
12.5	0.3
12.7	0.3
12.9	0.2
13.2	0.2
13.3	0.2
13.6	0.2
13.8	0.2
13.9	0.1
14.2	0.2
14.4	0.2
14.7	0.2
14.9	0.3
15.1	0.3
15.3	0.4
15.5	0.5
15.7	0.6
15.9	0.7
16.1	0.9
16.4	1.0
16.6	1.0
16.8	1.0
17.1	0.9
17.2	0.8
17.4	0.7
17.6	0.6
17.8	0.5
18.2	0.4
18.3	0.3
18.6	0.3
18.8	0.3
19.0	0.3
19.2	0.3
19.4	0.4
19.7	0.5
19.8	0.6
20.0	0.7
20.3	0.9
20.5	1.1
20.7	1.4
20.9	1.7
21.2	1.9
21.3	2.1
21.6	2.1
21.8	1.9
22.0	1.7
22.2	1.4
22.4	1.2
22.7	0.9
22.9	0.7
23.1	0.6
23.3	0.5
23.5	0.4
23.8	0.4
23.9	0.5
24.1	0.6
24.4	0.7
24.6	0.9
24.8	1.1
25.0	1.4
25.3	1.7
25.4	2.1
25.7	2.5
25.9	3.0
26.2	3.4
26.3	3.6
26.6	3.5
26.8	3.3
27.0	3.0
27.2	2.6
27.4	2.1
27.6	1.7
27.9	1.3
28.1	1.1
28.3	0.9
28.5	0.8
28.8	0.8
28.9	0.8
29.1	0.9
29.4	1.1
29.6	1.4
29.8	1.8
30.0	2.2
30.2	2.8
30.4	3.4
30.8	4.1
30.9	4.7
31.1	5.3
31.3	5.6
31.5	5.7
31.7	5.5
32.0	5.1
32.2	4.5
