t / s	B_B1 / mT	I_A1 / A
0.0	7	-0.01
0.1	7	-0.01
0.2	7	-0.01
0.3	7	-0.00
0.4	7	-0.01
0.5	7	-0.01
0.6	7	-0.00
0.7	7	-0.01
0.8	7	-0.01
0.9	7	-0.01
1.0	7	-0.01
1.1	7	-0.00
1.2	7	-0.01
1.3	7	-0.01
1.4	7	-0.01
1.5	7	-0.01
1.6	7	-0.01
1.7	7	-0.01
1.8	7	-0.01
1.9	7	-0.01
2.0	7	-0.01
2.1	7	-0.01
2.2	7	-0.01
2.3	7	-0.00
2.4	7	-0.01
2.5	7	-0.01
2.6	7	-0.01
2.7	7	-0.01
2.8	7	-0.00
2.9	7	-0.01
3.0	7	-0.01
3.1	7	-0.01
3.2	7	-0.01
3.3	7	-0.01
3.4	6	-0.01
3.5	7	-0.01
3.6	7	-0.01
3.7	7	-0.00
3.8	7	-0.01
3.9	7	-0.01
4.0	7	-0.01
4.1	17	0.10
4.2	35	0.31
4.3	53	0.50
4.4	61	0.60
4.5	80	0.79
4.6	99	0.99
4.7	104	1.04
4.8	110	1.10
4.9	116	1.16
5.0	151	1.51
5.1	139	1.38
5.2	150	1.49
5.3	148	1.48
5.4	150	1.49
5.5	151	1.51
5.6	158	1.58
5.7	163	1.64
5.8	168	1.68
5.9	169	1.70
6.0	181	1.82
6.1	183	1.83
6.2	189	1.90
6.3	207	2.06
6.4	217	2.17
6.5	215	2.15
6.6	232	2.33
6.7	232	2.33
6.8	240	2.40
6.9	241	2.42
7.0	253	2.52
7.1	251	2.51
7.2	256	2.56
7.3	268	2.68
7.4	265	2.64
7.5	276	2.77
7.6	278	2.79
7.7	281	2.82
7.8	288	2.88
7.9	300	3.01
8.0	307	3.08
8.1	318	3.20
8.2	319	3.20
8.3	321	3.22
8.4	334	3.36
8.5	333	3.34
8.6	355	3.55
8.7	375	3.77
8.8	370	3.70
8.9	377	3.79
9.0	380	3.83
9.1	378	3.79
9.2	381	3.83
9.3	380	3.82
9.4	381	3.83
9.5	383	3.86
9.6	387	3.90
9.7	392	3.95
9.8	390	3.93
9.9	397	4.01
10.0	404	4.09
10.1	406	4.10
10.2	410	4.15
10.3	424	4.28
10.4	426	4.31
10.5	433	4.38
10.6	436	4.41
10.7	440	4.47
10.8	442	4.49
10.9	453	4.61
11.0	452	4.59
11.1	455	4.64
11.2	454	4.62
11.3	461	4.72
11.4	461	4.70
11.5	466	4.77
11.6	470	4.82
11.7	470	4.80
11.8	485	5.00
11.9	484	4.96
12.0	486	5.01
12.1	493	5.09
12.2	493	5.08
12.3	498	5.16
12.4	501	5.21
12.5	504	5.25
12.6	507	5.29
12.7	508	5.29
12.8	509	5.32
12.9	512	5.35
13.0	515	5.39
13.1	515	5.38
13.2	519	5.44
13.3	520	5.46
13.4	522	5.50
