I_A1 / A	B_B1 / mT
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.02	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	6
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.02	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
-0.00	7
0.18	22
0.22	26
0.31	34
0.37	40
0.56	56
0.48	50
0.56	55
0.64	63
0.66	65
0.74	72
0.76	75
0.82	80
0.87	85
0.90	87
0.91	88
1.05	102
1.02	100
1.09	103
1.20	115
1.16	113
1.21	116
1.25	120
1.53	147
1.36	133
1.47	142
1.41	138
1.50	144
1.47	142
1.51	145
1.49	143
1.54	147
1.54	147
1.64	157
1.61	155
1.70	163
1.70	163
1.79	172
1.79	172
1.89	181
2.01	194
2.11	203
2.08	200
2.15	207
2.16	206
2.20	212
2.21	212
2.25	215
2.39	230
2.36	228
2.48	237
2.49	238
2.50	239
2.54	243
2.64	253
2.72	260
2.68	257
2.70	259
2.78	266
2.78	266
2.77	266
2.88	273
2.82	270
2.87	275
2.98	284
2.94	282
3.02	288
3.07	293
3.18	304
3.17	304
3.17	302
3.23	308
3.39	322
3.31	318
3.37	323
3.47	330
3.42	326
3.46	329
3.43	328
3.73	355
3.66	350
3.76	357
3.73	355
3.77	359
3.77	359
3.78	360
3.81	361
3.81	362
3.83	363
3.81	362
3.82	362
3.81	362
3.81	362
3.82	365
3.82	364
3.81	363
3.89	370
4.13	392
4.08	389
4.37	412
4.26	406
4.31	409
4.31	409
4.37	413
4.45	420
4.53	426
4.51	425
4.51	426
4.61	433
4.57	431
4.62	435
4.61	435
4.63	435
4.63	435
4.71	442
4.72	443
4.87	455
4.91	459
5.02	468
5.02	469
5.06	471
5.16	477
5.17	479
5.27	486
5.27	486
5.30	488
5.32	489
5.42	495
5.45	497
5.46	499
5.50	501
5.56	505
5.64	509
5.67	512
5.74	515
5.77	517
5.81	520
5.84	522
5.89	523
5.88	523
5.93	526
5.91	526
5.95	527
6.03	531
6.03	531
6.08	533
6.10	535
6.15	539
6.19	540
6.28	544
6.31	545
6.38	548
6.43	550
6.43	551
6.48	552
6.49	554
6.53	555
6.53	555
6.54	556
6.59	557
6.59	558
6.68	561
6.74	564
6.72	563
6.73	563
6.80	566
6.88	569
6.88	569
6.89	569
6.92	570
6.93	571
6.93	571
6.95	572
6.98	573
7.00	574
7.02	574
7.05	576
7.13	579
7.12	578
7.08	577
7.07	577
7.07	577
7.18	580
7.15	580
7.15	579
7.17	580
7.17	580
7.17	580
7.17	580
7.13	580
7.13	579
7.12	578
7.12	578
7.10	578
7.09	578
7.12	579
7.12	579
7.10	578
7.12	578
7.13	579
7.12	578
7.13	579
7.12	578
7.12	579
7.12	578
7.12	578
7.12	578
7.15	580
7.29	584
7.34	586
7.34	586
7.33	586
7.34	586
7.34	587
7.47	591
7.59	595
7.59	595
7.59	595
7.61	596
7.68	598
7.72	599
7.77	601
7.79	601
7.81	600
7.78	601
7.82	601
7.87	603
7.87	604
7.87	604
7.88	604
7.91	605
7.94	606
7.96	606
7.98	607
7.98	607
8.04	609
8.04	609
8.07	609
8.06	608
8.04	608
8.06	609
8.06	609
8.04	609
8.06	609
8.08	610
8.08	610
8.07	610
8.09	610
8.12	611
8.14	612
8.19	613
8.21	614
8.24	615
8.24	615
8.33	617
8.36	618
8.37	619
8.36	618
8.37	619
8.42	620
8.43	620
8.45	621
8.50	622
8.51	623
8.50	623
8.53	623
8.56	624
8.65	626
8.65	626
8.63	626
8.66	627
8.65	626
8.65	627
8.68	626
8.68	627
8.66	628
8.67	627
8.72	628
8.73	628
8.73	628
8.72	628
8.72	628
8.72	628
8.71	628
8.71	628
8.71	629
8.72	628
8.72	628
8.73	629
8.73	628
8.72	628
8.75	629
8.75	628
8.73	628
8.70	628
8.73	628
8.72	628
8.72	628
8.75	628
8.76	629
8.80	630
8.81	631
8.78	630
8.78	630
8.82	631
8.80	631
8.83	631
8.85	632
8.87	633
8.87	632
8.91	633
8.90	633
8.92	633
8.95	634
8.95	634
8.96	635
8.97	635
9.01	636
8.98	635
8.97	635
8.97	635
8.98	635
8.97	635
8.98	635
8.96	635
8.97	635
8.98	635
8.92	634
8.90	634
8.93	634
8.92	634
8.93	634
8.90	634
8.90	633
8.78	631
8.68	628
8.65	627
8.65	627
8.53	624
8.51	624
8.38	621
8.32	619
8.31	619
8.32	620
8.32	619
8.32	619
8.32	618
8.33	619
8.33	619
8.38	621
8.37	620
8.37	620
8.37	620
8.38	621
8.39	621
8.41	621
8.39	620
