&a / °	I1 / %
5,459	0,0
5,454	0,0
5,449	0,0
5,443	0,0
5,438	0,0
5,433	0,0
5,428	0,0
5,422	0,0
5,417	0,0
5,412	0,0
5,406	0,0
5,401	0,0
5,396	0,0
5,390	0,0
5,385	0,0
5,380	0,0
5,375	0,0
5,369	0,0
5,364	0,0
5,359	0,0
5,353	0,0
5,348	0,0
5,343	0,0
5,337	0,0
5,332	0,0
5,327	0,0
5,322	0,0
5,316	0,0
5,311	0,0
5,306	0,0
5,300	0,0
5,295	0,0
5,290	0,0
5,284	0,0
5,279	0,0
5,274	0,0
5,269	0,0
5,263	0,0
5,258	0,0
5,253	0,0
5,247	0,0
5,242	0,0
5,237	0,0
5,231	0,0
5,226	0,0
5,221	0,0
5,216	0,0
5,210	0,0
5,205	0,0
5,200	0,0
5,194	0,0
5,189	0,0
5,184	0,0
5,178	0,0
5,173	0,0
5,168	0,0
5,162	0,0
5,157	0,0
5,152	0,0
5,147	0,0
5,141	0,0
5,136	0,0
5,131	0,0
5,125	0,0
5,120	0,0
5,115	0,0
5,109	0,0
5,104	0,0
5,099	0,0
5,094	0,0
5,088	0,0
5,083	0,0
5,078	0,0
5,072	0,0
5,067	0,0
5,062	0,0
5,056	0,0
5,051	0,0
5,046	0,0
5,040	0,0
5,035	0,0
5,030	0,0
5,025	0,0
5,019	0,0
5,014	0,0
5,009	0,0
5,003	0,0
4,998	0,0
4,993	0,0
4,987	0,0
4,982	0,0
4,977	0,0
4,971	0,0
4,966	0,0
4,961	0,0
4,956	0,0
4,950	0,0
4,945	0,0
4,940	0,0
4,934	0,0
4,929	0,0
4,924	0,0
4,918	0,0
4,913	0,0
4,908	0,0
4,902	0,0
4,897	0,0
4,892	0,0
4,887	0,0
4,881	0,0
4,876	0,0
4,871	0,0
4,865	0,1
4,860	0,3
4,855	0,4
4,849	0,5
4,844	0,6
4,839	0,7
4,833	0,8
4,828	0,8
4,823	0,7
4,818	0,6
4,812	0,5
4,807	0,5
4,802	0,4
4,796	0,4
4,791	0,5
4,786	0,8
4,780	1,0
4,775	1,4
4,770	1,6
4,764	2,0
4,759	2,0
4,754	2,0
4,748	1,8
4,743	1,4
4,738	1,2
4,733	1,1
4,727	0,9
4,722	0,8
4,717	0,8
4,711	0,8
4,706	1,2
4,701	2,0
4,695	2,5
4,690	3,2
4,685	3,6
4,679	4,0
4,674	4,0
4,669	3,6
4,663	3,1
4,658	2,4
4,653	2,0
4,648	1,6
4,642	1,3
4,637	1,3
4,632	1,4
4,626	1,8
4,621	2,4
4,616	3,2
4,610	4,4
4,605	5,6
4,600	6,4
4,594	6,6
4,589	6,2
4,584	5,2
4,578	4,4
4,573	3,6
4,568	2,8
4,563	2,4
4,557	2,0
4,552	2,0
4,547	2,0
4,541	2,4
4,536	3,2
4,531	4,8
4,525	6,5
4,520	8,4
4,515	9,6
4,509	9,9
4,504	9,0
4,499	7,5
4,493	5,9
4,488	4,7
4,483	3,6
4,478	2,8
4,472	2,4
4,467	2,1
4,462	2,4
4,456	2,8
4,451	3,6
4,446	5,4
4,440	7,8
4,435	10,5
4,430	12,5
4,424	13,2
4,419	12,4
4,414	10,5
4,408	8,2
4,403	6,2
4,398	4,6
4,392	3,6
4,387	2,8
4,382	2,5
4,377	2,4
4,371	2,7
4,366	3,3
4,361	4,8
4,355	7,5
4,350	10,7
4,345	13,9
4,339	15,9
4,334	16,2
4,329	14,7
4,323	12,0
4,318	9,2
4,313	6,8
4,307	5,2
4,302	4,4
4,297	3,6
4,291	3,1
4,286	2,8
4,281	2,8
4,275	3,6
4,270	5,2
4,265	8,1
4,260	12,0
4,254	15,8
4,249	18,4
4,244	18,8
4,238	17,2
4,233	14,0
4,228	10,8
4,222	8,0
4,217	6,0
4,212	4,8
4,206	3,8
4,201	3,2
4,196	2,8
4,190	2,8
4,185	3,2
4,180	4,4
4,174	7,2
4,169	11,2
4,164	15,3
4,158	18,8
4,153	20,4
4,148	19,6
4,143	16,8
4,137	13,2
4,132	10,0
4,127	7,5
4,121	5,6
4,116	4,4
4,111	3,6
4,105	3,2
4,100	3,2
4,095	3,2
4,089	3,6
4,084	5,2
4,079	8,4
4,073	12,7
4,068	17,2
4,063	20,8
4,057	22,2
4,052	21,2
4,047	18,0
4,041	14,1
4,036	10,5
4,031	7,9
4,025	6,0
4,020	4,8
4,015	4,0
4,009	3,6
4,004	3,2
3,999	3,2
3,994	3,6
3,988	4,8
3,983	7,6
3,978	11,7
3,972	16,4
3,967	20,8
3,962	23,2
3,956	23,2
3,951	20,4
3,946	16,4
3,940	12,5
3,935	9,3
3,930	6,9
3,924	5,4
3,919	4,5
3,914	4,0
3,908	3,6
3,903	3,5
3,898	3,6
3,892	4,0
3,887	5,6
3,882	9,2
3,876	13,5
3,871	18,3
3,866	22,0
3,860	24,0
3,855	23,5
3,850	20,5
3,844	16,4
3,839	12,4
3,834	9,2
3,829	7,2
3,823	5,6
3,818	4,8
3,813	4,2
3,807	3,9
3,802	3,6
3,797	3,6
3,791	4,0
3,786	5,5
3,781	8,4
3,775	12,4
3,770	17,2
3,765	21,6
3,759	24,0
3,754	24,5
3,749	22,1
3,743	18,3
3,738	14,2
3,733	10,6
3,727	8,0
3,722	6,3
3,717	5,2
3,711	4,5
3,706	4,1
3,701	4,0
3,695	4,0
3,690	4,0
3,685	4,4
3,679	6,2
3,674	9,6
3,669	13,6
3,663	18,4
3,658	22,4
3,653	24,8
3,647	24,9
3,642	22,3
3,637	18,3
3,632	14,0
3,626	10,6
3,621	8,1
3,616	6,4
3,610	5,3
3,605	4,8
3,600	4,3
3,594	4,0
3,589	4,0
3,584	4,0
3,578	4,4
3,573	5,6
3,568	8,4
3,562	12,3
3,557	16,8
3,552	21,5
3,546	24,4
3,541	25,6
3,536	24,2
3,530	20,6
3,525	16,4
3,520	12,4
3,514	9,5
3,509	7,4
3,504	5,9
3,498	5,1
3,493	4,7
3,488	4,4
3,482	4,2
3,477	4,2
3,472	4,2
3,466	4,8
3,461	6,0
3,456	8,8
3,450	12,5
3,445	17,0
3,440	21,6
3,434	24,8
3,429	26,3
3,424	25,2
3,418	21,9
3,413	17,4
3,408	13,2
3,402	10,0
3,397	7,7
3,392	6,2
3,386	5,2
3,381	4,5
3,376	4,1
3,370	4,1
3,365	4,1
3,360	4,4
3,354	4,8
3,349	5,6
3,344	7,2
3,338	10,4
3,333	14,0
3,328	18,7
3,322	23,0
3,317	25,8
3,312	26,9
3,306	25,4
3,301	21,9
3,296	17,5
3,291	13,4
3,285	10,3
3,280	8,0
3,275	6,4
3,269	5,2
3,264	4,8
3,259	4,4
3,253	4,4
3,248	4,4
3,243	4,6
3,237	4,9
3,232	5,3
3,227	6,3
3,221	8,4
3,216	11,9
3,211	16,1
3,205	20,8
3,200	24,8
3,195	27,2
3,189	27,6
3,184	25,4
3,179	21,4
3,173	16,9
3,168	12,9
3,163	9,7
3,157	7,6
3,152	6,0
3,147	5,2
3,141	4,8
3,136	4,4
3,131	4,4
3,125	4,4
3,120	4,8
3,115	5,2
3,109	5,6
3,104	6,4
3,099	8,4
3,093	11,6
3,088	15,3
3,083	19,9
3,077	24,2
3,072	27,1
3,067	28,4
3,061	27,6
3,056	24,7
3,051	20,4
3,045	16,0
3,040	12,4
3,035	9,6
3,029	7,6
3,024	6,1
3,019	5,2
3,013	4,8
3,008	4,4
3,003	4,4
2,997	4,4
2,992	4,6
2,987	5,0
2,981	5,6
2,976	6,4
2,971	8,0
2,965	10,9
2,960	14,4
2,955	18,8
2,949	23,4
2,944	27,0
2,939	29,3
2,933	29,8
2,928	27,8
2,923	24,0
2,917	19,6
2,912	15,5
2,907	11,9
2,901	9,3
2,896	7,5
2,891	6,2
2,885	5,2
2,880	4,8
2,875	4,4
2,869	4,4
2,864	4,4
2,859	4,4
2,853	4,8
2,848	5,2
2,843	6,0
2,837	7,6
2,832	10,0
2,827	13,5
2,821	17,2
2,816	21,7
2,811	26,0
2,805	29,1
2,800	30,7
2,795	30,4
2,789	28,0
2,784	24,1
2,779	19,6
2,773	15,6
2,768	12,1
2,763	9,6
2,757	7,6
2,752	6,4
2,747	5,2
2,741	4,8
2,736	4,2
2,731	4,2
2,725	4,2
2,720	4,2
2,715	4,4
2,709	4,8
2,704	5,4
2,699	6,4
2,693	8,0
2,688	10,8
2,683	14,4
2,677	18,4
2,672	22,8
2,667	27,1
2,661	30,0
2,656	31,6
2,651	31,6
2,645	29,5
2,640	25,6
2,635	21,2
2,629	16,8
2,624	13,2
2,619	10,4
2,613	8,4
2,608	6,8
2,602	5,7
2,597	4,9
2,592	4,5
2,586	4,3
2,581	4,2
2,576	4,2
2,570	4,2
2,565	4,2
2,560	4,6
2,554	5,1
2,549	6,0
2,544	7,6
2,538	10,0
2,533	13,2
