&a / °	I1 / %
2,736	7,6
2,733	7,6
2,731	7,6
2,728	7,6
2,725	7,6
2,723	7,6
2,720	7,6
2,717	7,6
2,715	7,6
2,712	7,6
2,709	7,6
2,707	7,6
2,704	7,6
2,701	7,6
2,699	7,6
2,696	7,6
2,693	7,6
2,691	7,6
2,688	7,5
2,685	7,5
2,683	7,5
2,680	7,5
2,677	7,5
2,675	7,5
2,672	7,5
2,669	7,5
2,667	7,5
2,664	7,5
2,661	7,5
2,659	7,5
2,656	7,5
2,653	7,5
2,651	7,5
2,648	7,5
2,645	7,5
2,643	7,5
2,640	7,5
2,637	7,5
2,635	7,5
2,632	7,5
2,629	7,5
2,627	7,5
2,624	7,4
2,621	7,4
2,619	7,4
2,616	7,4
2,613	7,4
2,610	7,4
2,608	7,4
2,605	7,4
2,602	7,4
2,600	7,4
2,597	7,4
2,594	7,4
2,592	7,4
2,589	7,4
2,586	7,4
2,584	7,4
2,581	7,4
2,578	7,4
2,576	7,4
2,573	7,3
2,570	7,3
2,568	7,3
2,565	7,3
2,562	7,3
2,560	7,3
2,557	7,3
2,554	7,3
2,552	7,3
2,549	7,3
2,546	7,3
2,544	7,3
2,541	7,3
2,538	7,3
2,536	7,3
2,533	7,3
2,530	7,3
2,528	7,3
2,525	7,3
2,522	7,3
2,520	7,3
2,517	7,2
2,514	7,2
2,512	7,3
2,509	7,2
2,506	7,2
2,504	7,2
2,501	7,2
2,498	7,2
2,496	7,2
2,493	7,2
2,490	7,2
2,488	7,2
2,485	7,2
2,482	7,2
2,480	7,2
2,477	7,2
2,474	7,2
2,472	7,2
2,469	7,2
2,466	7,2
2,464	7,1
2,461	7,2
2,458	7,2
2,456	7,2
2,453	7,1
2,450	7,1
2,448	7,2
2,445	7,1
2,442	7,1
2,440	7,1
2,437	7,1
2,434	7,1
2,432	7,1
2,429	7,1
2,426	7,1
2,424	7,1
2,421	7,1
2,418	7,1
2,416	7,1
2,413	7,1
2,410	7,1
2,408	7,1
2,405	7,1
2,402	7,1
2,400	7,1
2,397	7,1
2,394	7,1
2,392	7,1
2,389	7,1
2,386	7,1
2,384	7,0
2,381	7,1
2,378	7,1
2,376	7,1
2,373	7,1
2,370	7,1
2,368	7,0
2,365	7,0
2,362	7,0
2,360	7,1
2,357	7,0
2,354	7,0
