&b / °	R_0 / 1/s
29.50	1.308
29.51	1.342
29.52	1.500
29.53	1.383
29.54	1.317
29.55	1.308
29.56	1.400
29.57	1.192
29.58	1.492
29.59	1.308
29.60	1.558
29.61	1.433
29.62	1.492
29.63	1.400
29.64	1.383
29.65	1.450
29.66	1.425
29.67	1.283
29.68	1.208
29.69	1.267
29.70	1.392
29.71	1.308
29.72	1.483
29.73	1.275
29.74	1.467
29.75	1.350
29.76	1.392
29.77	1.592
29.78	1.242
29.79	1.308
29.80	1.108
29.81	1.358
29.82	1.467
29.83	1.475
29.84	1.342
29.85	1.358
29.86	1.167
29.87	1.400
29.88	1.425
29.89	1.492
29.90	1.350
29.91	1.467
29.92	1.442
29.93	1.225
29.94	1.567
29.95	1.500
29.96	1.550
29.97	1.417
29.98	1.575
29.99	1.325
30.00	1.517
30.01	1.608
30.02	1.375
30.03	1.333
30.04	1.467
30.05	1.675
30.06	1.467
30.07	1.725
30.08	1.658
30.09	1.992
30.10	2.225
30.11	2.308
30.12	2.250
30.13	2.750
30.14	2.858
30.15	3.292
30.16	4.075
30.17	4.542
30.18	4.692
30.19	5.892
30.20	6.867
30.21	6.992
30.22	7.842
30.23	8.050
30.24	8.192
30.25	7.608
30.26	6.733
30.27	6.358
30.28	5.417
30.29	4.775
30.30	3.842
30.31	3.642
30.32	3.058
30.33	2.833
30.34	2.992
30.35	2.792
30.36	2.958
30.37	3.050
30.38	3.300
30.39	3.775
30.40	4.267
30.41	4.525
30.42	4.717
30.43	4.758
30.44	4.717
30.45	4.517
30.46	4.525
30.47	3.742
30.48	3.283
30.49	3.225
30.50	2.467
30.51	2.283
30.52	1.908
30.53	1.600
30.54	1.675
30.55	1.517
30.56	1.500
30.57	1.558
30.58	1.500
30.59	1.583
30.60	1.183
30.61	1.492
30.62	1.442
30.63	1.250
30.64	1.350
30.65	1.475
30.66	1.275
30.67	1.258
30.68	1.483
30.69	1.475
30.70	1.367
30.71	1.333
30.72	1.300
30.73	1.342
30.74	1.433
30.75	1.300
30.76	1.192
30.77	1.292
30.78	1.383
30.79	1.167
30.80	1.350
30.81	1.300
30.82	1.283
30.83	1.458
30.84	1.217
30.85	1.242
30.86	1.367
30.87	1.300
30.88	1.350
30.89	1.267
30.90	1.183
30.91	1.092
30.92	1.458
30.93	1.275
30.94	1.150
30.95	1.342
30.96	1.258
30.97	1.200
30.98	1.117
30.99	1.525
31.00	1.408
