n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	0
31		31	0
32		32	0
33		33	2
34		34	2
35		35	2
36		36	2
37		37	4
38		38	5
39		39	2
40		40	9
41		41	3
42		42	5
43		43	6
44		44	10
45		45	10
46		46	15
47		47	22
48		48	18
49		49	15
50		50	25
51		51	24
52		52	21
53		53	23
54		54	20
55		55	18
56		56	13
57		57	9
58		58	7
59		59	9
60		60	10
61		61	5
62		62	5
63		63	3
64		64	2
65		65	4
66		66	4
67		67	2
68		68	4
69		69	6
70		70	4
71		71	4
72		72	1
73		73	3
74		74	3
75		75	8
76		76	4
77		77	1
78		78	1
79		79	3
80		80	6
81		81	4
82		82	2
83		83	2
84		84	3
85		85	3
86		86	1
87		87	2
88		88	4
89		89	6
90		90	4
91		91	5
92		92	4
93		93	4
94		94	2
95		95	5
96		96	4
97		97	3
98		98	3
99		99	6
100		100	4
101		101	7
102		102	8
103		103	7
104		104	7
105		105	10
106		106	9
107		107	19
108		108	10
109		109	8
110		110	5
111		111	6
112		112	7
113		113	7
114		114	5
115		115	9
116		116	7
117		117	14
118		118	7
119		119	14
120		120	11
121		121	8
122		122	17
123		123	9
124		124	3
125		125	6
126		126	10
127		127	15
128		128	23
129		129	13
130		130	18
131		131	14
132		132	9
133		133	12
134		134	15
135		135	11
136		136	22
137		137	26
138		138	23
139		139	19
140		140	40
141		141	32
142		142	42
143		143	30
144		144	22
145		145	20
146		146	15
147		147	10
148		148	7
149		149	4
150		150	6
151		151	8
152		152	6
153		153	4
154		154	5
155		155	10
156		156	5
157		157	3
158		158	12
159		159	5
160		160	3
161		161	2
162		162	5
163		163	4
164		164	3
165		165	6
166		166	4
167		167	3
168		168	6
169		169	5
170		170	0
171		171	5
172		172	8
173		173	6
174		174	2
175		175	5
176		176	8
177		177	5
178		178	8
179		179	10
180		180	12
181		181	5
182		182	6
183		183	7
184		184	5
185		185	6
186		186	3
187		187	4
188		188	1
189		189	6
190		190	2
191		191	3
192		192	5
193		193	3
194		194	2
195		195	5
196		196	6
197		197	5
198		198	2
199		199	3
200		200	7
201		201	2
202		202	3
203		203	7
204		204	4
205		205	2
206		206	4
207		207	5
208		208	3
209		209	3
210		210	4
211		211	4
212		212	2
213		213	2
214		214	5
215		215	1
216		216	3
217		217	6
218		218	3
219		219	10
220		220	8
221		221	4
222		222	4
223		223	4
224		224	5
225		225	8
226		226	6
227		227	0
228		228	3
229		229	2
230		230	3
231		231	5
232		232	4
233		233	6
234		234	3
235		235	2
236		236	4
237		237	4
238		238	4
239		239	0
240		240	4
241		241	4
242		242	4
243		243	5
244		244	3
245		245	5
246		246	5
247		247	2
248		248	2
249		249	3
250		250	5
251		251	3
252		252	7
253		253	0
254		254	5
255		255	3
256		256	1
257		257	3
258		258	5
259		259	4
260		260	6
261		261	1
262		262	2
263		263	5
264		264	3
265		265	1
266		266	3
267		267	3
268		268	4
269		269	1
270		270	1
271		271	2
272		272	6
273		273	4
274		274	3
275		275	3
276		276	6
277		277	4
278		278	3
279		279	3
280		280	4
281		281	4
282		282	7
283		283	1
284		284	3
285		285	2
286		286	1
287		287	2
288		288	3
289		289	0
290		290	2
291		291	3
292		292	5
293		293	1
294		294	2
295		295	5
296		296	1
297		297	4
298		298	6
299		299	4
300		300	2
301		301	0
302		302	3
303		303	4
304		304	3
305		305	2
306		306	4
307		307	1
308		308	3
309		309	3
310		310	2
311		311	2
312		312	4
313		313	6
314		314	6
315		315	5
316		316	8
317		317	11
318		318	9
319		319	14
320		320	34
321		321	26
322		322	43
323		323	44
324		324	68
325		325	94
326		326	110
327		327	105
328		328	138
329		329	145
330		330	109
331		331	80
332		332	63
333		333	42
334		334	22
335		335	9
336		336	4
337		337	4
338		338	4
339		339	1
340		340	1
341		341	1
342		342	0
343		343	3
344		344	0
345		345	1
346		346	1
347		347	1
348		348	2
349		349	0
350		350	3
351		351	3
352		352	1
353		353	3
354		354	0
355		355	0
356		356	0
357		357	1
358		358	1
359		359	3
360		360	0
361		361	9
362		362	7
363		363	11
364		364	17
365		365	18
366		366	21
367		367	19
368		368	28
369		369	19
370		370	16
371		371	8
372		372	3
373		373	7
374		374	3
375		375	5
376		376	2
377		377	1
378		378	1
379		379	2
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	0
386		386	0
387		387	2
388		388	0
389		389	0
390		390	0
391		391	0
392		392	0
393		393	0
394		394	0
395		395	0
396		396	0
397		397	0
398		398	0
399		399	0
400		400	0
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	0
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	1
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	1
509		509	0
510		510	1
511		511	1
