n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	1
30		30	0
31		31	1
32		32	1
33		33	2
34		34	2
35		35	2
36		36	2
37		37	5
38		38	2
39		39	2
40		40	3
41		41	2
42		42	4
43		43	6
44		44	4
45		45	8
46		46	4
47		47	7
48		48	2
49		49	11
50		50	4
51		51	6
52		52	7
53		53	1
54		54	6
55		55	2
56		56	5
57		57	7
58		58	8
59		59	2
60		60	6
61		61	3
62		62	7
63		63	4
64		64	4
65		65	8
66		66	4
67		67	7
68		68	8
69		69	6
70		70	7
71		71	7
72		72	9
73		73	3
74		74	9
75		75	11
76		76	10
77		77	4
78		78	8
79		79	7
80		80	12
81		81	7
82		82	5
83		83	3
84		84	9
85		85	6
86		86	3
87		87	8
88		88	5
89		89	16
90		90	3
91		91	6
92		92	10
93		93	8
94		94	7
95		95	11
96		96	8
97		97	6
98		98	6
99		99	7
100		100	12
101		101	9
102		102	12
103		103	14
104		104	14
105		105	12
106		106	18
107		107	17
108		108	11
109		109	6
110		110	9
111		111	7
112		112	22
113		113	11
114		114	13
115		115	14
116		116	11
117		117	14
118		118	13
119		119	17
120		120	25
121		121	31
122		122	39
123		123	38
124		124	30
125		125	51
126		126	58
127		127	66
128		128	80
129		129	80
130		130	68
131		131	59
132		132	48
133		133	56
134		134	36
135		135	53
136		136	54
137		137	49
138		138	42
139		139	41
140		140	33
141		141	30
142		142	33
143		143	41
144		144	42
145		145	69
146		146	99
147		147	121
148		148	164
149		149	214
150		150	265
151		151	326
152		152	376
153		153	409
154		154	342
155		155	307
156		156	219
157		157	140
158		158	80
159		159	47
160		160	26
161		161	17
162		162	24
163		163	16
164		164	16
165		165	17
166		166	30
167		167	20
168		168	17
169		169	42
170		170	52
171		171	59
172		172	82
173		173	102
174		174	127
175		175	178
176		176	162
177		177	213
178		178	245
179		179	242
180		180	196
181		181	162
182		182	139
183		183	98
184		184	63
185		185	39
186		186	40
187		187	25
188		188	19
189		189	9
190		190	8
191		191	6
192		192	16
193		193	8
194		194	4
195		195	8
196		196	9
197		197	6
198		198	10
199		199	14
200		200	15
201		201	18
202		202	18
203		203	24
204		204	23
205		205	24
206		206	27
207		207	18
208		208	18
209		209	15
210		210	16
211		211	15
212		212	10
213		213	8
214		214	13
215		215	5
216		216	7
217		217	8
218		218	7
219		219	5
220		220	2
221		221	3
222		222	2
223		223	3
224		224	2
225		225	8
226		226	4
227		227	5
228		228	5
229		229	5
230		230	2
231		231	3
232		232	2
233		233	4
234		234	2
235		235	5
236		236	4
237		237	6
238		238	6
239		239	2
240		240	6
241		241	7
242		242	1
243		243	5
244		244	1
245		245	6
246		246	6
247		247	6
248		248	2
249		249	3
250		250	4
251		251	5
252		252	3
253		253	3
254		254	3
255		255	1
256		256	5
257		257	6
258		258	6
259		259	4
260		260	5
261		261	4
262		262	1
263		263	0
264		264	4
265		265	4
266		266	6
267		267	2
268		268	1
269		269	5
270		270	2
271		271	3
272		272	2
273		273	2
274		274	4
275		275	2
276		276	2
277		277	3
278		278	2
279		279	2
280		280	0
281		281	3
282		282	2
283		283	3
284		284	6
285		285	2
286		286	4
287		287	4
288		288	5
289		289	2
290		290	3
291		291	0
292		292	2
293		293	4
294		294	2
295		295	1
296		296	3
297		297	2
298		298	1
299		299	1
300		300	1
301		301	1
302		302	0
303		303	1
304		304	3
305		305	1
306		306	1
307		307	1
308		308	1
309		309	4
310		310	1
311		311	1
312		312	2
313		313	1
314		314	2
315		315	2
316		316	0
317		317	3
318		318	3
319		319	3
320		320	1
321		321	4
322		322	1
323		323	0
324		324	6
325		325	1
326		326	1
327		327	3
328		328	3
329		329	0
330		330	6
331		331	3
332		332	2
333		333	4
334		334	2
335		335	1
336		336	3
337		337	0
338		338	2
339		339	3
340		340	0
341		341	1
342		342	4
343		343	4
344		344	3
345		345	1
346		346	2
347		347	0
348		348	2
349		349	1
350		350	2
351		351	1
352		352	3
353		353	6
354		354	1
355		355	1
356		356	3
357		357	2
358		358	1
359		359	5
360		360	0
361		361	1
362		362	0
363		363	0
364		364	2
365		365	3
366		366	1
367		367	1
368		368	3
369		369	2
370		370	1
371		371	5
372		372	1
373		373	3
374		374	4
375		375	1
376		376	1
377		377	0
378		378	0
379		379	0
380		380	0
381		381	1
382		382	1
383		383	2
384		384	0
385		385	0
386		386	5
387		387	2
388		388	0
389		389	0
390		390	1
391		391	1
392		392	0
393		393	1
394		394	0
395		395	1
396		396	1
397		397	0
398		398	1
399		399	0
400		400	1
401		401	0
402		402	2
403		403	1
404		404	1
405		405	0
406		406	0
407		407	1
408		408	1
409		409	0
410		410	1
411		411	3
412		412	2
413		413	1
414		414	0
415		415	0
416		416	3
417		417	0
418		418	0
419		419	0
420		420	2
421		421	1
422		422	0
423		423	0
424		424	0
425		425	0
426		426	1
427		427	1
428		428	1
429		429	1
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	2
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	1
443		443	0
444		444	0
445		445	0
446		446	0
447		447	1
448		448	0
449		449	0
450		450	1
451		451	0
452		452	0
453		453	1
454		454	0
455		455	0
456		456	1
457		457	1
458		458	1
459		459	1
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	1
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	1
480		480	1
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	0
