n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	1
28		28	1
29		29	1
30		30	4
31		31	4
32		32	6
33		33	9
34		34	11
35		35	10
36		36	14
37		37	15
38		38	11
39		39	15
40		40	27
41		41	17
42		42	24
43		43	18
44		44	30
45		45	21
46		46	21
47		47	30
48		48	30
49		49	29
50		50	23
51		51	30
52		52	28
53		53	30
54		54	21
55		55	23
56		56	34
57		57	27
58		58	26
59		59	22
60		60	26
61		61	30
62		62	25
63		63	22
64		64	35
65		65	31
66		66	28
67		67	29
68		68	22
69		69	32
70		70	33
71		71	34
72		72	32
73		73	36
74		74	38
75		75	35
76		76	37
77		77	34
78		78	41
79		79	44
80		80	55
81		81	22
82		82	49
83		83	46
84		84	41
85		85	33
86		86	32
87		87	60
88		88	54
89		89	33
90		90	40
91		91	31
92		92	42
93		93	37
94		94	46
95		95	44
96		96	46
97		97	50
98		98	39
99		99	55
100		100	55
101		101	56
102		102	57
103		103	59
104		104	64
105		105	58
106		106	57
107		107	55
108		108	56
109		109	53
110		110	46
111		111	63
112		112	82
113		113	63
114		114	73
115		115	80
116		116	68
117		117	117
118		118	147
119		119	212
120		120	359
121		121	530
122		122	788
123		123	1094
124		124	1388
125		125	1830
126		126	2108
127		127	2606
128		128	2946
129		129	2875
130		130	2530
131		131	1942
132		132	1380
133		133	788
134		134	480
135		135	308
136		136	235
137		137	231
138		138	271
139		139	352
140		140	373
141		141	389
142		142	364
143		143	355
144		144	210
145		145	127
146		146	68
147		147	48
148		148	11
149		149	8
150		150	5
151		151	4
152		152	5
153		153	3
154		154	6
155		155	7
156		156	2
157		157	3
158		158	2
159		159	4
160		160	3
161		161	2
162		162	1
163		163	2
164		164	2
165		165	2
166		166	5
167		167	4
168		168	1
169		169	3
170		170	2
171		171	1
172		172	0
173		173	0
174		174	1
175		175	3
176		176	2
177		177	4
178		178	2
179		179	3
180		180	4
181		181	4
182		182	4
183		183	3
184		184	3
185		185	10
186		186	6
187		187	7
188		188	9
189		189	7
190		190	7
191		191	5
192		192	15
193		193	3
194		194	14
195		195	5
196		196	4
197		197	4
198		198	4
199		199	6
200		200	3
201		201	4
202		202	3
203		203	1
204		204	7
205		205	3
206		206	4
207		207	4
208		208	2
209		209	2
210		210	3
211		211	3
212		212	1
213		213	3
214		214	1
215		215	3
216		216	2
217		217	1
218		218	2
219		219	4
220		220	1
221		221	0
222		222	2
223		223	2
224		224	1
225		225	2
226		226	1
227		227	0
228		228	1
229		229	0
230		230	4
231		231	2
232		232	1
233		233	4
234		234	1
235		235	0
236		236	1
237		237	4
238		238	3
239		239	3
240		240	2
241		241	0
242		242	2
243		243	7
244		244	2
245		245	1
246		246	2
247		247	0
248		248	1
249		249	1
250		250	1
251		251	3
252		252	0
253		253	0
254		254	1
255		255	1
256		256	2
257		257	2
258		258	2
259		259	2
260		260	0
261		261	2
262		262	1
263		263	1
264		264	1
265		265	1
266		266	0
267		267	2
268		268	0
269		269	0
270		270	0
271		271	1
272		272	0
273		273	0
274		274	0
275		275	0
276		276	1
277		277	0
278		278	0
279		279	0
280		280	1
281		281	0
282		282	0
283		283	0
284		284	0
285		285	1
286		286	0
287		287	1
288		288	1
289		289	0
290		290	0
291		291	0
292		292	1
293		293	0
294		294	0
295		295	0
296		296	2
297		297	0
298		298	0
299		299	0
300		300	1
301		301	1
302		302	0
303		303	1
304		304	0
305		305	0
306		306	1
307		307	1
308		308	2
309		309	1
310		310	2
311		311	0
312		312	0
313		313	0
314		314	0
315		315	0
316		316	0
317		317	0
318		318	0
319		319	0
320		320	0
321		321	0
322		322	2
323		323	0
324		324	0
325		325	2
326		326	0
327		327	0
328		328	0
329		329	1
330		330	0
331		331	1
332		332	0
333		333	1
334		334	1
335		335	0
336		336	0
337		337	1
338		338	0
339		339	0
340		340	0
341		341	1
342		342	0
343		343	0
344		344	0
345		345	0
346		346	0
347		347	0
348		348	0
349		349	0
350		350	0
351		351	0
352		352	0
353		353	1
354		354	1
355		355	0
356		356	1
357		357	0
358		358	0
359		359	0
360		360	1
361		361	1
362		362	1
363		363	1
364		364	0
365		365	0
366		366	0
367		367	0
368		368	0
369		369	1
370		370	0
371		371	1
372		372	0
373		373	0
374		374	2
375		375	0
376		376	0
377		377	0
378		378	0
379		379	0
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	1
386		386	0
387		387	0
388		388	0
389		389	0
390		390	1
391		391	0
392		392	0
393		393	0
394		394	0
395		395	1
396		396	1
397		397	0
398		398	0
399		399	0
400		400	1
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	0
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	1
462		462	1
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	1
