n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	1
27		27	0
28		28	0
29		29	2
30		30	2
31		31	5
32		32	8
33		33	13
34		34	17
35		35	21
36		36	30
37		37	21
38		38	31
39		39	25
40		40	30
41		41	41
42		42	30
43		43	25
44		44	36
45		45	41
46		46	29
47		47	32
48		48	41
49		49	45
50		50	55
51		51	48
52		52	32
53		53	40
54		54	44
55		55	41
56		56	43
57		57	39
58		58	54
59		59	43
60		60	51
61		61	57
62		62	48
63		63	49
64		64	51
65		65	56
66		66	48
67		67	65
68		68	55
69		69	50
70		70	56
71		71	68
72		72	59
73		73	59
74		74	68
75		75	68
76		76	71
77		77	76
78		78	65
79		79	94
80		80	68
81		81	84
82		82	68
83		83	69
84		84	82
85		85	80
86		86	70
87		87	79
88		88	74
89		89	66
90		90	90
91		91	94
92		92	96
93		93	131
94		94	162
95		95	276
96		96	488
97		97	703
98		98	1046
99		99	1404
100		100	1752
101		101	2269
102		102	2842
103		103	3476
104		104	3824
105		105	3690
106		106	3138
107		107	2528
108		108	1724
109		109	1091
110		110	813
111		111	587
112		112	560
113		113	582
114		114	553
115		115	535
116		116	442
117		117	309
118		118	218
119		119	113
120		120	65
121		121	16
122		122	14
123		123	9
124		124	8
125		125	11
126		126	9
127		127	11
128		128	6
129		129	10
130		130	4
131		131	6
132		132	2
133		133	6
134		134	3
135		135	2
136		136	5
137		137	2
138		138	6
139		139	6
140		140	2
141		141	4
142		142	1
143		143	4
144		144	3
145		145	4
146		146	5
147		147	4
148		148	4
149		149	8
150		150	4
151		151	11
152		152	12
153		153	19
154		154	18
155		155	14
156		156	11
157		157	11
158		158	12
159		159	13
160		160	10
161		161	16
162		162	7
163		163	4
164		164	6
165		165	8
166		166	7
167		167	7
168		168	2
169		169	1
170		170	1
171		171	3
172		172	6
173		173	8
174		174	4
175		175	1
176		176	3
177		177	2
178		178	4
179		179	3
180		180	2
181		181	5
182		182	2
183		183	2
184		184	4
185		185	3
186		186	6
187		187	1
188		188	4
189		189	4
190		190	4
191		191	4
192		192	7
193		193	10
194		194	3
195		195	4
196		196	4
197		197	3
198		198	2
199		199	2
200		200	1
201		201	7
202		202	2
203		203	2
204		204	2
205		205	1
206		206	1
207		207	0
208		208	1
209		209	1
210		210	1
211		211	1
212		212	3
213		213	1
214		214	1
215		215	1
216		216	1
217		217	0
218		218	1
219		219	1
220		220	0
221		221	0
222		222	0
223		223	1
224		224	0
225		225	1
226		226	3
227		227	1
228		228	2
229		229	1
230		230	1
231		231	1
232		232	0
233		233	0
234		234	0
235		235	0
236		236	0
237		237	1
238		238	0
239		239	1
240		240	1
241		241	2
242		242	1
243		243	0
244		244	0
245		245	1
246		246	0
247		247	1
248		248	2
249		249	0
250		250	0
251		251	1
252		252	0
253		253	2
254		254	0
255		255	1
256		256	0
257		257	1
258		258	1
259		259	3
260		260	1
261		261	0
262		262	4
263		263	0
264		264	0
265		265	0
266		266	0
267		267	1
268		268	2
269		269	0
270		270	0
271		271	1
272		272	0
273		273	1
274		274	2
275		275	1
276		276	1
277		277	0
278		278	0
279		279	0
280		280	0
281		281	1
282		282	1
283		283	0
284		284	0
285		285	0
286		286	1
287		287	0
288		288	0
289		289	0
290		290	0
291		291	1
292		292	1
293		293	0
294		294	1
295		295	0
296		296	1
297		297	0
298		298	0
299		299	0
300		300	0
301		301	0
302		302	0
303		303	0
304		304	0
305		305	0
306		306	0
307		307	0
308		308	1
309		309	0
310		310	1
311		311	1
312		312	0
313		313	0
314		314	2
315		315	0
316		316	1
317		317	0
318		318	0
319		319	0
320		320	1
321		321	1
322		322	2
323		323	1
324		324	0
325		325	0
326		326	1
327		327	0
328		328	0
329		329	1
330		330	1
331		331	1
332		332	0
333		333	0
334		334	2
335		335	1
336		336	0
337		337	1
338		338	0
339		339	0
340		340	0
341		341	0
342		342	1
343		343	0
344		344	0
345		345	1
346		346	0
347		347	0
348		348	0
349		349	0
350		350	1
351		351	0
352		352	1
353		353	0
354		354	0
355		355	1
356		356	0
357		357	0
358		358	0
359		359	1
360		360	0
361		361	0
362		362	0
363		363	0
364		364	0
365		365	0
366		366	0
367		367	0
368		368	0
369		369	0
370		370	0
371		371	0
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	0
378		378	0
379		379	1
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	0
386		386	0
387		387	1
388		388	1
389		389	1
390		390	0
391		391	0
392		392	1
393		393	0
394		394	0
395		395	0
396		396	0
397		397	0
398		398	0
399		399	0
400		400	0
401		401	0
402		402	1
403		403	0
404		404	0
405		405	2
406		406	0
407		407	0
408		408	0
409		409	0
410		410	1
411		411	0
412		412	0
413		413	0
414		414	1
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	1
423		423	0
424		424	1
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	1
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	1
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	1
