n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	0
27	1
28	0
29	0
30	2
31	8
32	9
33	14
34	20
35	25
36	19
37	24
38	20
39	24
40	33
41	33
42	34
43	25
44	26
45	35
46	29
47	35
48	41
49	41
50	34
51	42
52	49
53	44
54	51
55	41
56	37
57	50
58	37
59	42
60	46
61	53
62	52
63	46
64	53
65	47
66	47
67	47
68	42
69	60
70	54
71	49
72	51
73	61
74	63
75	52
76	59
77	59
78	58
79	62
80	68
81	70
82	69
83	56
84	64
85	62
86	58
87	72
88	73
89	80
90	71
91	86
92	95
93	103
94	143
95	241
96	340
97	523
98	736
99	911
100	1285
101	1662
102	2035
103	2529
104	2759
105	2722
106	2521
107	1973
108	1417
109	914
110	632
111	453
112	423
113	431
114	471
115	440
116	366
117	297
118	197
119	140
120	64
121	42
122	33
123	35
124	31
125	40
126	34
127	48
128	61
129	92
130	139
131	172
132	240
133	346
134	423
135	519
136	597
137	674
138	600
139	533
140	432
141	291
142	169
143	100
144	44
145	49
146	46
147	51
148	78
149	71
150	90
151	68
152	88
153	68
154	40
155	39
156	29
157	21
158	12
159	9
160	7
161	7
162	3
163	5
164	5
165	6
166	2
167	1
168	1
169	4
170	3
171	2
172	1
173	3
174	2
175	1
176	3
177	1
178	9
179	4
180	5
181	2
182	2
183	5
184	5
185	5
186	9
187	5
188	6
189	4
190	2
191	5
192	6
193	6
194	4
195	7
196	5
197	2
198	2
199	1
200	1
201	0
202	1
203	1
204	3
205	5
206	1
207	2
208	4
209	4
210	2
211	1
212	2
213	0
214	3
215	5
216	0
217	0
218	2
219	2
220	4
221	2
222	2
223	2
224	2
225	0
226	1
227	4
228	5
229	2
230	1
231	1
232	0
233	0
234	0
235	0
236	1
237	0
238	1
239	1
240	1
241	1
242	0
243	1
244	1
245	0
246	1
247	1
248	1
249	2
250	0
251	0
252	1
253	1
254	1
255	0
256	1
257	1
258	1
259	1
260	0
261	0
262	0
263	0
264	0
265	0
266	1
267	1
268	2
269	1
270	2
271	1
272	3
273	0
274	1
275	0
276	1
277	1
278	1
279	0
280	0
281	1
282	0
283	0
284	0
285	1
286	0
287	0
288	2
289	0
290	0
291	0
292	2
293	0
294	1
295	0
296	0
297	0
298	0
299	1
300	0
301	0
302	0
303	0
304	0
305	1
306	2
307	0
308	1
309	2
310	0
311	0
312	0
313	2
314	0
315	0
316	0
317	2
318	1
319	1
320	0
321	1
322	0
323	1
324	0
325	0
326	1
327	0
328	0
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	1
338	0
339	1
340	0
341	0
342	1
343	1
344	0
345	0
346	0
347	2
348	0
349	0
350	0
351	1
352	0
353	1
354	0
355	0
356	0
357	1
358	0
359	1
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	2
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	1
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	1
399	0
400	1
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	3
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	1
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
