n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	2
34	1
35	1
36	0
37	1
38	2
39	3
40	5
41	5
42	6
43	6
44	2
45	11
46	6
47	5
48	11
49	13
50	16
51	19
52	14
53	28
54	30
55	45
56	47
57	39
58	48
59	46
60	45
61	25
62	36
63	31
64	19
65	17
66	9
67	12
68	7
69	4
70	2
71	4
72	1
73	3
74	4
75	2
76	5
77	5
78	2
79	2
80	2
81	2
82	4
83	2
84	1
85	1
86	4
87	3
88	1
89	3
90	4
91	1
92	3
93	3
94	3
95	1
96	1
97	7
98	2
99	4
100	2
101	7
102	2
103	2
104	4
105	0
106	14
107	6
108	4
109	5
110	7
111	7
112	3
113	7
114	3
115	5
116	4
117	3
118	11
119	10
120	14
121	26
122	19
123	25
124	39
125	46
126	64
127	71
128	71
129	93
130	68
131	54
132	42
133	22
134	19
135	13
136	6
137	12
138	5
139	17
140	6
141	2
142	7
143	3
144	2
145	5
146	4
147	6
148	2
149	5
150	5
151	5
152	6
153	9
154	7
155	7
156	4
157	4
158	4
159	2
160	2
161	4
162	4
163	2
164	5
165	3
166	3
167	1
168	3
169	5
170	4
171	2
172	3
173	2
174	6
175	2
176	8
177	4
178	6
179	7
180	5
181	2
182	8
183	6
184	3
185	2
186	4
187	1
188	3
189	3
190	2
191	4
192	2
193	0
194	3
195	3
196	5
197	6
198	4
199	0
200	7
201	2
202	1
203	7
204	4
205	1
206	3
207	4
208	3
209	4
210	3
211	4
212	4
213	3
214	3
215	0
216	0
217	1
218	4
219	2
220	2
221	3
222	2
223	2
224	2
225	2
226	3
227	1
228	0
229	3
230	1
231	3
232	0
233	1
234	3
235	4
236	1
237	2
238	3
239	0
240	2
241	6
242	2
243	1
244	6
245	1
246	2
247	1
248	5
249	1
250	2
251	1
252	3
253	1
254	7
255	2
256	0
257	1
258	1
259	2
260	3
261	0
262	2
263	2
264	4
265	1
266	4
267	4
268	2
269	2
270	3
271	3
272	1
273	4
274	1
275	4
276	1
277	0
278	4
279	1
280	5
281	0
282	2
283	2
284	4
285	2
286	1
287	5
288	4
289	0
290	0
291	2
292	3
293	2
294	3
295	0
296	2
297	0
298	1
299	0
300	1
301	4
302	2
303	6
304	1
305	0
306	4
307	2
308	0
309	5
310	1
311	3
312	0
313	3
314	2
315	4
316	1
317	4
318	0
319	0
320	3
321	1
322	1
323	5
324	2
325	4
326	3
327	4
328	2
329	2
330	1
331	0
332	3
333	4
334	2
335	3
336	4
337	4
338	1
339	1
340	3
341	1
342	2
343	1
344	3
345	6
346	10
347	10
348	13
349	11
350	18
351	32
352	32
353	42
354	59
355	56
356	61
357	60
358	52
359	40
360	32
361	18
362	14
363	7
364	3
365	2
366	2
367	1
368	2
369	0
370	1
371	2
372	2
373	1
374	0
375	2
376	0
377	0
378	1
379	1
380	0
381	2
382	1
383	1
384	1
385	1
386	1
387	1
388	0
389	0
390	1
391	2
392	3
393	2
394	4
395	6
396	6
397	8
398	12
399	11
400	11
401	12
402	5
403	3
404	3
405	2
406	3
407	2
408	3
409	3
410	3
411	1
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	1
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	1
473	0
474	1
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
