n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	0
31		31	0
32		32	0
33		33	1
34		34	4
35		35	4
36		36	6
37		37	6
38		38	10
39		39	6
40		40	7
41		41	14
42		42	5
43		43	6
44		44	3
45		45	3
46		46	7
47		47	5
48		48	4
49		49	5
50		50	5
51		51	4
52		52	13
53		53	1
54		54	6
55		55	10
56		56	5
57		57	10
58		58	7
59		59	5
60		60	11
61		61	7
62		62	7
63		63	9
64		64	5
65		65	11
66		66	8
67		67	9
68		68	3
69		69	4
70		70	6
71		71	10
72		72	9
73		73	10
74		74	9
75		75	2
76		76	8
77		77	9
78		78	6
79		79	14
80		80	7
81		81	6
82		82	3
83		83	13
84		84	7
85		85	5
86		86	5
87		87	8
88		88	9
89		89	9
90		90	7
91		91	5
92		92	8
93		93	7
94		94	4
95		95	13
96		96	9
97		97	4
98		98	12
99		99	15
100		100	5
101		101	9
102		102	15
103		103	14
104		104	20
105		105	23
106		106	23
107		107	19
108		108	15
109		109	14
110		110	15
111		111	12
112		112	8
113		113	8
114		114	18
115		115	14
116		116	15
117		117	25
118		118	15
119		119	17
120		120	29
121		121	32
122		122	24
123		123	17
124		124	21
125		125	11
126		126	21
127		127	18
128		128	16
129		129	23
130		130	16
131		131	16
132		132	14
133		133	11
134		134	13
135		135	10
136		136	11
137		137	8
138		138	9
139		139	8
140		140	6
141		141	12
142		142	16
143		143	17
144		144	11
145		145	24
146		146	13
147		147	12
148		148	7
149		149	12
150		150	18
151		151	17
152		152	14
153		153	23
154		154	26
155		155	23
156		156	11
157		157	12
158		158	7
159		159	9
160		160	4
161		161	5
162		162	9
163		163	18
164		164	11
165		165	18
166		166	8
167		167	16
168		168	18
169		169	16
170		170	13
171		171	11
172		172	17
173		173	12
174		174	22
175		175	28
176		176	25
177		177	21
178		178	18
179		179	16
180		180	27
181		181	17
182		182	15
183		183	15
184		184	16
185		185	12
186		186	5
187		187	5
188		188	4
189		189	5
190		190	5
191		191	2
192		192	8
193		193	7
194		194	10
195		195	11
196		196	5
197		197	11
198		198	10
199		199	6
200		200	8
201		201	11
202		202	10
203		203	8
204		204	11
205		205	11
206		206	14
207		207	19
208		208	10
209		209	9
210		210	14
211		211	7
212		212	18
213		213	11
214		214	11
215		215	10
216		216	4
217		217	13
218		218	6
219		219	6
220		220	11
221		221	10
222		222	12
223		223	8
224		224	12
225		225	5
226		226	8
227		227	6
228		228	9
229		229	6
230		230	15
231		231	8
232		232	12
233		233	8
234		234	12
235		235	9
236		236	10
237		237	19
238		238	5
239		239	15
240		240	18
241		241	19
242		242	16
243		243	18
244		244	15
245		245	15
246		246	23
247		247	10
248		248	14
249		249	23
250		250	23
251		251	16
252		252	18
253		253	30
254		254	56
255		255	68
256		256	77
257		257	158
258		258	191
259		259	256
260		260	343
261		261	377
262		262	439
263		263	488
264		264	517
265		265	471
266		266	366
267		267	258
268		268	140
269		269	84
270		270	41
271		271	19
272		272	8
273		273	11
274		274	2
275		275	6
276		276	2
277		277	2
278		278	3
279		279	4
280		280	11
281		281	6
282		282	3
283		283	11
284		284	6
285		285	12
286		286	18
287		287	22
288		288	28
289		289	33
290		290	42
291		291	47
292		292	65
293		293	65
294		294	72
295		295	71
296		296	50
297		297	44
298		298	33
299		299	16
300		300	14
301		301	12
302		302	6
303		303	3
304		304	3
305		305	0
306		306	0
307		307	0
308		308	0
309		309	1
310		310	0
311		311	1
312		312	0
313		313	0
314		314	0
315		315	0
316		316	0
317		317	0
318		318	0
319		319	0
320		320	1
321		321	0
322		322	0
323		323	0
324		324	2
325		325	0
326		326	1
327		327	0
328		328	0
329		329	0
330		330	0
331		331	1
332		332	0
333		333	0
334		334	0
335		335	0
336		336	0
337		337	0
338		338	0
339		339	0
340		340	0
341		341	0
342		342	0
343		343	0
344		344	0
345		345	0
346		346	0
347		347	0
348		348	0
349		349	0
350		350	1
351		351	1
352		352	0
353		353	0
354		354	1
355		355	0
356		356	1
357		357	0
358		358	0
359		359	0
360		360	0
361		361	0
362		362	0
363		363	0
364		364	0
365		365	0
366		366	0
367		367	1
368		368	0
369		369	0
370		370	0
371		371	0
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	0
378		378	0
379		379	1
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	0
386		386	0
387		387	0
388		388	0
389		389	0
390		390	0
391		391	0
392		392	0
393		393	0
394		394	0
395		395	0
396		396	0
397		397	0
398		398	1
399		399	0
400		400	0
401		401	0
402		402	0
403		403	0
404		404	0
405		405	1
406		406	1
407		407	0
408		408	0
409		409	0
410		410	0
411		411	0
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	1
423		423	0
424		424	1
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	1
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	1
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	0
