n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	3
31		31	1
32		32	5
33		33	9
34		34	11
35		35	13
36		36	18
37		37	24
38		38	25
39		39	26
40		40	22
41		41	27
42		42	12
43		43	26
44		44	26
45		45	25
46		46	32
47		47	27
48		48	28
49		49	29
50		50	35
51		51	36
52		52	33
53		53	31
54		54	40
55		55	32
56		56	20
57		57	29
58		58	28
59		59	24
60		60	29
61		61	30
62		62	30
63		63	42
64		64	37
65		65	26
66		66	28
67		67	34
68		68	33
69		69	38
70		70	34
71		71	34
72		72	37
73		73	36
74		74	38
75		75	34
76		76	37
77		77	51
78		78	38
79		79	47
80		80	41
81		81	41
82		82	38
83		83	40
84		84	33
85		85	49
86		86	47
87		87	62
88		88	59
89		89	60
90		90	72
91		91	50
92		92	54
93		93	76
94		94	75
95		95	64
96		96	71
97		97	74
98		98	87
99		99	58
100		100	69
101		101	66
102		102	51
103		103	68
104		104	69
105		105	75
106		106	65
107		107	72
108		108	86
109		109	111
110		110	150
111		111	240
112		112	409
113		113	664
114		114	854
115		115	1292
116		116	1564
117		117	1912
118		118	2543
119		119	2866
120		120	3145
121		121	2947
122		122	2643
123		123	1800
124		124	1229
125		125	756
126		126	487
127		127	348
128		128	365
129		129	382
130		130	424
131		131	432
132		132	443
133		133	418
134		134	332
135		135	211
136		136	116
137		137	70
138		138	33
139		139	27
140		140	10
141		141	7
142		142	6
143		143	5
144		144	3
145		145	1
146		146	2
147		147	3
148		148	2
149		149	1
150		150	2
151		151	1
152		152	0
153		153	0
154		154	4
155		155	0
156		156	1
157		157	1
158		158	1
159		159	1
160		160	1
161		161	2
162		162	4
163		163	5
164		164	1
165		165	3
166		166	2
167		167	2
168		168	5
169		169	4
170		170	2
171		171	1
172		172	6
173		173	6
174		174	5
175		175	10
176		176	16
177		177	12
178		178	11
179		179	11
180		180	10
181		181	4
182		182	8
183		183	4
184		184	5
185		185	5
186		186	7
187		187	4
188		188	7
189		189	0
190		190	6
191		191	6
192		192	8
193		193	4
194		194	1
195		195	1
196		196	3
197		197	4
198		198	2
199		199	2
200		200	0
201		201	2
202		202	2
203		203	1
204		204	2
205		205	5
206		206	2
207		207	2
208		208	1
209		209	1
210		210	1
211		211	1
212		212	3
213		213	4
214		214	2
215		215	0
216		216	1
217		217	3
218		218	3
219		219	9
220		220	4
221		221	4
222		222	2
223		223	5
224		224	0
225		225	1
226		226	4
227		227	1
228		228	2
229		229	5
230		230	0
231		231	1
232		232	2
233		233	2
234		234	1
235		235	1
236		236	0
237		237	1
238		238	1
239		239	1
240		240	0
241		241	2
242		242	1
243		243	2
244		244	0
245		245	0
246		246	2
247		247	1
248		248	1
249		249	2
250		250	0
251		251	0
252		252	0
253		253	0
254		254	0
255		255	0
256		256	1
257		257	0
258		258	0
259		259	1
260		260	1
261		261	0
262		262	0
263		263	0
264		264	2
265		265	0
266		266	0
267		267	0
268		268	1
269		269	3
270		270	0
271		271	0
272		272	0
273		273	0
274		274	0
275		275	2
276		276	0
277		277	1
278		278	0
279		279	1
280		280	2
281		281	0
282		282	0
283		283	2
284		284	0
285		285	0
286		286	1
287		287	0
288		288	0
289		289	0
290		290	0
291		291	1
292		292	0
293		293	0
294		294	0
295		295	0
296		296	0
297		297	0
298		298	1
299		299	1
300		300	0
301		301	0
302		302	0
303		303	2
304		304	2
305		305	0
306		306	0
307		307	0
308		308	0
309		309	0
310		310	2
311		311	0
312		312	0
313		313	1
314		314	0
315		315	0
316		316	1
317		317	1
318		318	0
319		319	1
320		320	0
321		321	0
322		322	1
323		323	0
324		324	0
325		325	0
326		326	0
327		327	1
328		328	1
329		329	0
330		330	0
331		331	0
332		332	0
333		333	0
334		334	0
335		335	0
336		336	0
337		337	0
338		338	2
339		339	0
340		340	0
341		341	0
342		342	0
343		343	0
344		344	1
345		345	1
346		346	0
347		347	0
348		348	0
349		349	0
350		350	0
351		351	0
352		352	1
353		353	0
354		354	0
355		355	0
356		356	1
357		357	0
358		358	2
359		359	0
360		360	0
361		361	0
362		362	0
363		363	0
364		364	0
365		365	0
366		366	1
367		367	0
368		368	0
369		369	0
370		370	0
371		371	1
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	0
378		378	1
379		379	0
380		380	0
381		381	0
382		382	0
383		383	0
384		384	1
385		385	0
386		386	0
387		387	0
388		388	0
389		389	0
390		390	0
391		391	1
392		392	0
393		393	0
394		394	0
395		395	0
396		396	2
397		397	1
398		398	0
399		399	1
400		400	1
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	0
412		412	1
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	1
419		419	0
420		420	0
421		421	0
422		422	0
423		423	0
424		424	1
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	1
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	1
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	1
