n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	0
31		31	0
32		32	0
33		33	4
34		34	2
35		35	3
36		36	4
37		37	3
38		38	8
39		39	3
40		40	5
41		41	3
42		42	7
43		43	7
44		44	7
45		45	3
46		46	11
47		47	7
48		48	6
49		49	5
50		50	3
51		51	9
52		52	9
53		53	5
54		54	6
55		55	7
56		56	13
57		57	6
58		58	11
59		59	9
60		60	5
61		61	9
62		62	7
63		63	9
64		64	13
65		65	5
66		66	10
67		67	9
68		68	3
69		69	7
70		70	5
71		71	7
72		72	8
73		73	9
74		74	3
75		75	8
76		76	4
77		77	11
78		78	12
79		79	13
80		80	10
81		81	8
82		82	8
83		83	7
84		84	13
85		85	9
86		86	11
87		87	8
88		88	11
89		89	7
90		90	8
91		91	9
92		92	9
93		93	15
94		94	9
95		95	11
96		96	7
97		97	10
98		98	17
99		99	17
100		100	23
101		101	19
102		102	12
103		103	26
104		104	20
105		105	16
106		106	11
107		107	22
108		108	20
109		109	14
110		110	12
111		111	17
112		112	18
113		113	19
114		114	19
115		115	12
116		116	16
117		117	20
118		118	22
119		119	12
120		120	30
121		121	26
122		122	30
123		123	45
124		124	33
125		125	27
126		126	28
127		127	50
128		128	55
129		129	49
130		130	45
131		131	36
132		132	43
133		133	26
134		134	33
135		135	15
136		136	26
137		137	33
138		138	32
139		139	38
140		140	38
141		141	39
142		142	54
143		143	44
144		144	43
145		145	40
146		146	45
147		147	42
148		148	34
149		149	35
150		150	28
151		151	26
152		152	36
153		153	34
154		154	37
155		155	42
156		156	46
157		157	95
158		158	125
159		159	188
160		160	234
161		161	303
162		162	362
163		163	449
164		164	512
165		165	539
166		166	499
167		167	426
168		168	279
169		169	193
170		170	101
171		171	58
172		172	31
173		173	26
174		174	18
175		175	10
176		176	22
177		177	19
178		178	16
179		179	18
180		180	14
181		181	16
182		182	20
183		183	25
184		184	28
185		185	41
186		186	42
187		187	58
188		188	90
189		189	136
190		190	171
191		191	200
192		192	241
193		193	294
194		194	303
195		195	335
196		196	283
197		197	256
198		198	159
199		199	117
200		200	73
201		201	49
202		202	33
203		203	16
204		204	6
205		205	5
206		206	3
207		207	3
208		208	2
209		209	5
210		210	0
211		211	2
212		212	2
213		213	2
214		214	3
215		215	2
216		216	3
217		217	5
218		218	8
219		219	15
220		220	9
221		221	22
222		222	22
223		223	20
224		224	29
225		225	23
226		226	18
227		227	33
228		228	21
229		229	23
230		230	18
231		231	17
232		232	5
233		233	12
234		234	1
235		235	8
236		236	4
237		237	2
238		238	3
239		239	2
240		240	1
241		241	1
242		242	2
243		243	1
244		244	1
245		245	1
246		246	1
247		247	1
248		248	0
249		249	0
250		250	0
251		251	1
252		252	1
253		253	0
254		254	1
255		255	1
256		256	0
257		257	3
258		258	1
259		259	3
260		260	0
261		261	0
262		262	0
263		263	1
264		264	1
265		265	0
266		266	0
267		267	0
268		268	1
269		269	1
270		270	0
271		271	1
272		272	0
273		273	1
274		274	1
275		275	0
276		276	1
277		277	1
278		278	2
279		279	0
280		280	1
281		281	1
282		282	0
283		283	1
284		284	1
285		285	2
286		286	0
287		287	1
288		288	0
289		289	0
290		290	1
291		291	0
292		292	0
293		293	0
294		294	0
295		295	1
296		296	1
297		297	0
298		298	0
299		299	0
300		300	0
301		301	0
302		302	1
303		303	0
304		304	1
305		305	1
306		306	0
307		307	0
308		308	0
309		309	1
310		310	1
311		311	1
312		312	1
313		313	0
314		314	0
315		315	0
316		316	0
317		317	0
318		318	0
319		319	0
320		320	0
321		321	0
322		322	1
323		323	0
324		324	0
325		325	0
326		326	1
327		327	0
328		328	0
329		329	0
330		330	0
331		331	0
332		332	0
333		333	1
334		334	0
335		335	0
336		336	0
337		337	1
338		338	0
339		339	0
340		340	0
341		341	1
342		342	0
343		343	0
344		344	0
345		345	0
346		346	0
347		347	0
348		348	1
349		349	0
350		350	0
351		351	0
352		352	0
353		353	0
354		354	1
355		355	0
356		356	0
357		357	0
358		358	0
359		359	0
360		360	0
361		361	0
362		362	0
363		363	0
364		364	0
365		365	1
366		366	0
367		367	1
368		368	0
369		369	0
370		370	1
371		371	0
372		372	0
373		373	0
374		374	1
375		375	0
376		376	0
377		377	0
378		378	0
379		379	0
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	0
386		386	0
387		387	0
388		388	0
389		389	0
390		390	0
391		391	0
392		392	0
393		393	0
394		394	0
395		395	1
396		396	0
397		397	0
398		398	0
399		399	0
400		400	1
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	1
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	1
419		419	0
420		420	1
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	1
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	1
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	2
