n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	2
31	4
32	6
33	4
34	15
35	18
36	14
37	18
38	17
39	19
40	15
41	25
42	29
43	40
44	19
45	20
46	34
47	34
48	32
49	37
50	28
51	34
52	36
53	38
54	33
55	36
56	43
57	36
58	37
59	29
60	47
61	36
62	49
63	48
64	47
65	66
66	43
67	38
68	55
69	39
70	33
71	45
72	55
73	50
74	54
75	54
76	54
77	70
78	67
79	67
80	88
81	136
82	165
83	183
84	230
85	287
86	358
87	447
88	561
89	638
90	599
91	577
92	504
93	428
94	380
95	357
96	430
97	518
98	696
99	918
100	1112
101	1361
102	1582
103	1933
104	2222
105	2224
106	1955
107	1566
108	1089
109	747
110	478
111	365
112	343
113	324
114	366
115	392
116	354
117	272
118	238
119	176
120	135
121	121
122	95
123	68
124	55
125	34
126	13
127	20
128	34
129	23
130	31
131	30
132	22
133	25
134	17
135	11
136	8
137	11
138	2
139	6
140	3
141	4
142	2
143	2
144	4
145	4
146	8
147	4
148	8
149	4
150	6
151	2
152	7
153	5
154	9
155	5
156	7
157	8
158	5
159	7
160	5
161	5
162	3
163	2
164	3
165	4
166	2
167	6
168	3
169	6
170	4
171	6
172	0
173	5
174	3
175	4
176	3
177	1
178	4
179	4
180	1
181	2
182	2
183	2
184	2
185	2
186	5
187	4
188	2
189	1
190	5
191	1
192	0
193	0
194	3
195	5
196	1
197	1
198	2
199	1
200	5
201	2
202	1
203	1
204	0
205	0
206	2
207	0
208	1
209	0
210	2
211	1
212	4
213	2
214	1
215	1
216	1
217	1
218	2
219	1
220	0
221	2
222	1
223	0
224	2
225	3
226	0
227	2
228	2
229	3
230	1
231	0
232	1
233	1
234	1
235	3
236	1
237	2
238	1
239	1
240	0
241	1
242	0
243	0
244	1
245	1
246	0
247	1
248	3
249	1
250	3
251	0
252	2
253	0
254	1
255	1
256	0
257	0
258	3
259	0
260	3
261	0
262	3
263	2
264	2
265	5
266	1
267	2
268	0
269	0
270	0
271	1
272	1
273	0
274	0
275	0
276	0
277	2
278	0
279	0
280	3
281	1
282	1
283	1
284	0
285	1
286	1
287	1
288	1
289	2
290	0
291	0
292	1
293	1
294	1
295	1
296	0
297	0
298	2
299	1
300	0
301	1
302	1
303	0
304	0
305	1
306	2
307	1
308	0
309	0
310	0
311	0
312	0
313	1
314	1
315	0
316	1
317	0
318	0
319	0
320	0
321	1
322	1
323	1
324	1
325	0
326	2
327	1
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	0
337	1
338	0
339	2
340	0
341	0
342	0
343	1
344	0
345	1
346	0
347	0
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	2
356	1
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	1
374	0
375	1
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	1
395	0
396	0
397	0
398	1
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	1
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
