&b / °	R_0 / 1/s
2,0	6,4
2,1	4,2
2,2	5,3
2,3	5,9
2,4	6,3
2,5	6,6
2,6	7,4
2,7	6,7
2,8	6,4
2,9	6,6
3,0	7,8
3,1	7,2
3,2	9,4
3,3	10,3
3,4	18,6
3,5	36,8
3,6	80,2
3,7	135,5
3,8	200,5
3,9	238,2
4,0	261,9
4,1	305,6
4,2	324,1
4,3	340,1
4,4	354,6
4,5	374,2
4,6	375,1
4,7	405,4
4,8	459,7
4,9	597,1
5,0	636,9
5,1	551,7
5,2	472,0
5,3	463,0
5,4	486,5
5,5	769,8
5,6	1203,0
5,7	1103,4
5,8	706,7
5,9	528,8
6,0	445,5
6,1	428,7
6,2	396,3
6,3	387,4
6,4	378,4
6,5	359,3
6,6	352,8
6,7	345,0
6,8	338,2
6,9	320,5
7,0	315,7
7,1	315,2
7,2	296,7
7,3	294,7
7,4	285,4
7,5	294,2
7,6	279,6
7,7	272,7
7,8	265,5
7,9	260,1
8,0	252,8
8,1	247,7
8,2	232,2
8,3	235,1
8,4	225,6
8,5	218,3
8,6	205,9
8,7	195,4
8,8	194,3
8,9	189,0
9,0	176,7
9,1	173,8
9,2	164,2
9,3	155,0
9,4	142,1
9,5	141,0
9,6	131,8
9,7	139,4
9,8	128,4
9,9	152,7
10,0	185,3
10,1	173,3
10,2	140,5
10,3	124,9
10,4	116,2
10,5	116,4
10,6	106,4
10,7	103,2
10,8	99,9
10,9	106,2
11,0	100,6
11,1	104,1
11,2	174,6
11,3	317,8
11,4	316,0
11,5	215,0
11,6	145,9
11,7	118,9
11,8	107,5
11,9	100,7
12,0	100,8
12,1	98,8
12,2	95,5
12,3	95,2
12,4	86,0
12,5	82,9
12,6	87,5
12,7	91,9
12,8	87,7
12,9	85,3
13,0	86,2
13,1	84,6
13,2	79,4
13,3	82,7
13,4	81,2
13,5	79,9
13,6	78,1
13,7	75,1
13,8	76,8
13,9	77,1
14,0	74,4
14,1	75,9
14,2	71,1
14,3	66,3
14,4	72,6
14,5	66,7
14,6	70,0
14,7	66,9
14,8	69,1
14,9	71,8
15,0	70,2
15,1	78,7
15,2	80,3
15,3	70,3
15,4	65,2
15,5	64,7
15,6	70,4
15,7	67,7
15,8	70,4
15,9	60,6
16,0	62,6
16,1	56,4
16,2	59,1
16,3	57,3
16,4	57,3
16,5	54,1
16,6	54,3
16,7	58,4
16,8	54,8
16,9	57,9
17,0	66,2
17,1	94,8
17,2	114,6
17,3	100,7
17,4	75,0
17,5	61,1
17,6	61,1
17,7	56,4
17,8	58,9
17,9	57,6
18,0	51,6
18,1	49,2
18,2	42,7
18,3	47,4
18,4	39,6
18,5	43,5
18,6	41,5
18,7	40,8
18,8	41,5
18,9	38,1
19,0	38,0
19,1	36,8
19,2	37,7
19,3	40,3
19,4	33,2
19,5	34,3
19,6	36,0
19,7	32,5
19,8	35,9
19,9	34,1
20,0	32,8
20,1	34,1
20,2	30,5
20,3	36,4
20,4	35,3
20,5	33,8
20,6	33,8
20,7	33,1
20,8	33,5
20,9	29,0
21,0	38,3
21,1	30,3
21,2	31,9
21,3	30,3
21,4	30,3
21,5	28,7
21,6	28,1
21,7	27,4
21,8	25,9
21,9	26,0
22,0	27,7
22,1	27,1
22,2	24,2
22,3	26,1
22,4	24,5
22,5	25,6
22,6	27,5
22,7	29,1
22,8	26,9
22,9	26,5
23,0	28,1
23,1	29,8
23,2	32,9
23,3	38,2
23,4	35,1
23,5	30,7
23,6	30,8
23,7	34,1
23,8	36,7
23,9	33,2
24,0	30,5
24,1	26,8
24,2	22,1
24,3	23,2
24,4	22,2
24,5	21,9
24,6	22,8
24,7	20,1
24,8	20,6
24,9	20,7
25,0	17,8
