n_1	N_1	n_2	N_2	n_3	N_3
0		0	0	0	0
1		1	0	1	0
2		2	0	2	0
3		3	0	3	0
4		4	0	4	0
5		5	0	5	0
6		6	0	6	0
7		7	0	7	0
8		8	0	8	0
9		9	0	9	0
10		10	0	10	0
11		11	0	11	0
12		12	0	12	0
13		13	0	13	0
14		14	0	14	0
15		15	0	15	0
16		16	0	16	0
17		17	0	17	0
18		18	0	18	0
19		19	0	19	0
20		20	0	20	0
21		21	0	21	0
22		22	0	22	0
23		23	0	23	0
24		24	0	24	0
25		25	0	25	0
26		26	0	26	0
27		27	0	27	0
28		28	0	28	0
29		29	0	29	0
30		30	0	30	0
31		31	2	31	0
32		32	1	32	0
33		33	0	33	0
34		34	3	34	0
35		35	2	35	0
36		36	4	36	0
37		37	1	37	0
38		38	2	38	0
39		39	3	39	0
40		40	3	40	0
41		41	4	41	0
42		42	3	42	0
43		43	3	43	0
44		44	5	44	0
45		45	7	45	0
46		46	5	46	0
47		47	0	47	0
48		48	9	48	0
49		49	9	49	0
50		50	12	50	0
51		51	22	51	0
52		52	19	52	0
53		53	23	53	0
54		54	18	54	0
55		55	43	55	0
56		56	43	56	0
57		57	53	57	0
58		58	64	58	0
59		59	66	59	0
60		60	81	60	0
61		61	78	61	0
62		62	69	62	0
63		63	52	63	0
64		64	64	64	0
65		65	39	65	0
66		66	43	66	0
67		67	43	67	0
68		68	19	68	0
69		69	17	69	0
70		70	9	70	0
71		71	8	71	0
72		72	7	72	0
73		73	10	73	0
74		74	11	74	0
75		75	4	75	0
76		76	5	76	0
77		77	4	77	0
78		78	4	78	0
79		79	1	79	0
80		80	1	80	0
81		81	1	81	0
82		82	2	82	0
83		83	0	83	0
84		84	1	84	0
85		85	2	85	0
86		86	0	86	0
87		87	5	87	0
88		88	1	88	0
89		89	2	89	0
90		90	1	90	0
91		91	3	91	0
92		92	1	92	0
93		93	1	93	0
94		94	0	94	0
95		95	3	95	0
96		96	0	96	0
97		97	1	97	0
98		98	1	98	0
99		99	1	99	0
100		100	2	100	0
101		101	3	101	0
102		102	7	102	0
103		103	3	103	0
104		104	4	104	0
105		105	4	105	0
106		106	5	106	0
107		107	6	107	0
108		108	2	108	0
109		109	1	109	0
110		110	2	110	0
111		111	3	111	0
112		112	4	112	0
113		113	3	113	0
114		114	3	114	0
115		115	4	115	0
116		116	5	116	0
117		117	6	117	0
118		118	6	118	0
119		119	7	119	0
120		120	3	120	0
121		121	9	121	0
122		122	13	122	0
123		123	16	123	0
124		124	10	124	0
125		125	20	125	0
126		126	15	126	0
127		127	13	127	0
128		128	19	128	0
129		129	20	129	0
130		130	13	130	0
131		131	21	131	0
132		132	12	132	0
133		133	8	133	0
134		134	5	134	0
135		135	8	135	0
136		136	8	136	0
137		137	7	137	0
138		138	6	138	0
139		139	11	139	0
140		140	5	140	0
141		141	12	141	0
142		142	10	142	0
143		143	9	143	0
144		144	6	144	0
145		145	1	145	0
146		146	5	146	0
147		147	3	147	0
148		148	6	148	0
149		149	7	149	0
150		150	6	150	0
151		151	6	151	0
152		152	3	152	0
153		153	3	153	0
154		154	6	154	0
155		155	3	155	0
156		156	2	156	0
157		157	3	157	0
158		158	3	158	0
159		159	1	159	0
160		160	1	160	0
161		161	1	161	0
162		162	5	162	0
163		163	4	163	0
164		164	3	164	0
165		165	1	165	0
166		166	9	166	0
167		167	1	167	0
168		168	2	168	0
169		169	3	169	0
170		170	3	170	0
171		171	3	171	0
172		172	5	172	0
173		173	6	173	0
174		174	5	174	0
175		175	3	175	0
176		176	3	176	0
177		177	5	177	0
178		178	4	178	0
179		179	3	179	0
180		180	6	180	0
181		181	8	181	0
182		182	2	182	0
183		183	5	183	0
184		184	4	184	0
185		185	4	185	0
186		186	1	186	0
187		187	4	187	0
188		188	1	188	0
189		189	0	189	0
190		190	3	190	0
191		191	3	191	0
192		192	2	192	0
193		193	3	193	0
194		194	4	194	0
195		195	1	195	0
196		196	2	196	0
197		197	3	197	0
198		198	3	198	0
199		199	4	199	0
200		200	1	200	0
201		201	2	201	0
202		202	5	202	0
203		203	2	203	0
204		204	4	204	0
205		205	6	205	0
206		206	2	206	0
207		207	5	207	0
208		208	1	208	0
209		209	1	209	0
210		210	2	210	0
211		211	4	211	0
212		212	1	212	0
213		213	2	213	0
214		214	1	214	0
215		215	3	215	0
216		216	5	216	0
217		217	4	217	0
218		218	2	218	0
219		219	3	219	0
220		220	0	220	0
221		221	2	221	0
222		222	5	222	0
223		223	3	223	0
224		224	2	224	0
225		225	5	225	0
226		226	1	226	0
227		227	2	227	0
228		228	3	228	0
229		229	3	229	0
230		230	1	230	0
231		231	1	231	0
232		232	2	232	0
233		233	0	233	0
234		234	0	234	0
235		235	0	235	0
236		236	2	236	0
237		237	1	237	0
238		238	3	238	0
239		239	1	239	0
240		240	2	240	0
241		241	3	241	0
242		242	1	242	0
243		243	2	243	0
244		244	2	244	0
245		245	1	245	0
246		246	2	246	0
247		247	3	247	0
248		248	0	248	0
249		249	4	249	0
250		250	2	250	0
251		251	4	251	0
252		252	0	252	0
253		253	2	253	0
254		254	2	254	0
255		255	2	255	0
256		256	2	256	0
257		257	2	257	0
258		258	3	258	0
259		259	2	259	0
260		260	4	260	0
261		261	4	261	0
262		262	2	262	0
263		263	4	263	0
264		264	2	264	0
265		265	1	265	0
266		266	2	266	0
267		267	2	267	0
268		268	1	268	0
269		269	2	269	0
270		270	1	270	0
271		271	4	271	0
272		272	3	272	0
273		273	2	273	0
274		274	2	274	0
275		275	1	275	0
276		276	0	276	0
277		277	4	277	0
278		278	1	278	0
279		279	0	279	0
280		280	3	280	0
281		281	2	281	0
282		282	2	282	0
283		283	1	283	0
284		284	2	284	0
285		285	2	285	0
286		286	4	286	0
287		287	2	287	0
288		288	1	288	0
289		289	2	289	0
290		290	0	290	0
291		291	1	291	0
292		292	2	292	0
293		293	2	293	0
294		294	3	294	0
295		295	3	295	0
296		296	2	296	0
297		297	4	297	0
298		298	1	298	0
299		299	4	299	0
300		300	1	300	0
301		301	0	301	0
302		302	8	302	0
303		303	0	303	0
304		304	3	304	0
305		305	2	305	0
306		306	1	306	0
307		307	0	307	0
308		308	0	308	0
309		309	0	309	0
310		310	0	310	0
311		311	1	311	0
312		312	1	312	0
313		313	2	313	0
314		314	2	314	0
315		315	2	315	0
316		316	2	316	0
317		317	0	317	0
318		318	4	318	0
319		319	1	319	0
320		320	2	320	0
321		321	0	321	0
322		322	0	322	0
323		323	1	323	0
324		324	4	324	0
325		325	0	325	0
326		326	1	326	0
327		327	3	327	0
328		328	0	328	0
329		329	1	329	0
330		330	3	330	0
331		331	2	331	0
332		332	3	332	0
333		333	2	333	0
334		334	1	334	0
335		335	0	335	0
336		336	0	336	0
337		337	1	337	0
338		338	0	338	0
339		339	1	339	0
340		340	2	340	0
341		341	3	341	0
342		342	3	342	0
343		343	0	343	0
344		344	1	344	0
345		345	2	345	0
346		346	3	346	0
347		347	1	347	0
348		348	2	348	0
349		349	2	349	0
350		350	1	350	0
351		351	1	351	0
352		352	3	352	0
353		353	3	353	0
354		354	0	354	0
355		355	1	355	0
356		356	1	356	0
357		357	3	357	0
358		358	1	358	0
359		359	2	359	0
360		360	3	360	0
361		361	5	361	0
362		362	5	362	0
363		363	14	363	0
364		364	13	364	0
365		365	13	365	0
366		366	32	366	0
367		367	23	367	0
368		368	54	368	0
369		369	42	369	0
370		370	58	370	0
371		371	40	371	0
372		372	47	372	0
373		373	46	373	0
374		374	31	374	0
375		375	27	375	0
376		376	14	376	0
377		377	11	377	0
378		378	3	378	0
379		379	4	379	0
380		380	1	380	0
381		381	2	381	0
382		382	0	382	0
383		383	0	383	0
384		384	1	384	0
385		385	0	385	0
