n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	0
31		31	3
32		32	4
33		33	4
34		34	9
35		35	10
36		36	12
37		37	9
38		38	10
39		39	19
40		40	15
41		41	21
42		42	25
43		43	21
44		44	28
45		45	24
46		46	24
47		47	27
48		48	22
49		49	25
50		50	28
51		51	35
52		52	25
53		53	28
54		54	33
55		55	26
56		56	31
57		57	20
58		58	30
59		59	23
60		60	19
61		61	28
62		62	28
63		63	31
64		64	42
65		65	54
66		66	81
67		67	133
68		68	183
69		69	284
70		70	347
71		71	472
72		72	566
73		73	718
74		74	901
75		75	1076
76		76	1172
77		77	1015
78		78	911
79		79	695
80		80	478
81		81	366
82		82	280
83		83	212
84		84	159
85		85	129
86		86	92
87		87	47
88		88	23
89		89	15
90		90	3
91		91	2
92		92	2
93		93	0
94		94	2
95		95	1
96		96	1
97		97	1
98		98	1
99		99	2
100		100	4
101		101	0
102		102	2
103		103	3
104		104	3
105		105	4
106		106	7
107		107	4
108		108	4
109		109	2
110		110	7
111		111	1
112		112	4
113		113	0
114		114	3
115		115	4
116		116	4
117		117	5
118		118	3
119		119	2
120		120	3
121		121	4
122		122	5
123		123	4
124		124	8
125		125	10
126		126	7
127		127	4
128		128	6
129		129	9
130		130	7
131		131	5
132		132	3
133		133	8
134		134	3
135		135	5
136		136	5
137		137	9
138		138	8
139		139	7
140		140	5
141		141	11
142		142	6
143		143	3
144		144	7
145		145	8
146		146	3
147		147	3
148		148	1
149		149	2
150		150	2
151		151	0
152		152	0
153		153	2
154		154	1
155		155	1
156		156	1
157		157	1
158		158	1
159		159	0
160		160	1
161		161	0
162		162	0
163		163	0
164		164	0
165		165	1
166		166	3
167		167	0
168		168	0
169		169	1
170		170	3
171		171	2
172		172	0
173		173	1
174		174	1
175		175	0
176		176	2
177		177	2
178		178	1
179		179	1
180		180	1
181		181	2
182		182	2
183		183	0
184		184	1
185		185	0
186		186	4
187		187	3
188		188	2
189		189	4
190		190	1
191		191	3
192		192	0
193		193	2
194		194	0
195		195	4
196		196	5
197		197	3
198		198	4
199		199	3
200		200	1
201		201	0
202		202	3
203		203	3
204		204	0
205		205	1
206		206	0
207		207	1
208		208	0
209		209	0
210		210	0
211		211	1
212		212	1
213		213	0
214		214	2
215		215	1
216		216	2
217		217	1
218		218	3
219		219	1
220		220	0
221		221	1
222		222	1
223		223	0
224		224	0
225		225	1
226		226	0
227		227	0
228		228	2
229		229	1
230		230	1
231		231	3
232		232	1
233		233	2
234		234	2
235		235	2
236		236	3
237		237	1
238		238	2
239		239	2
240		240	5
241		241	2
242		242	2
243		243	0
244		244	2
245		245	2
246		246	0
247		247	1
248		248	3
249		249	0
250		250	2
251		251	0
252		252	2
253		253	1
254		254	1
255		255	2
256		256	1
257		257	1
258		258	0
259		259	0
260		260	1
261		261	1
262		262	2
263		263	2
264		264	0
265		265	0
266		266	1
267		267	1
268		268	0
269		269	1
270		270	1
271		271	1
272		272	0
273		273	1
274		274	0
275		275	2
276		276	1
277		277	1
278		278	1
279		279	2
280		280	0
281		281	1
282		282	3
283		283	1
284		284	1
285		285	0
286		286	0
287		287	0
288		288	0
289		289	0
290		290	0
291		291	0
292		292	1
293		293	0
294		294	0
295		295	0
296		296	0
297		297	0
298		298	0
299		299	0
300		300	1
301		301	0
302		302	1
303		303	2
304		304	0
305		305	0
306		306	1
307		307	1
308		308	0
309		309	1
310		310	0
311		311	1
312		312	1
313		313	2
314		314	0
315		315	0
316		316	0
317		317	0
318		318	0
319		319	1
320		320	1
321		321	0
322		322	0
323		323	0
324		324	1
325		325	0
326		326	1
327		327	1
328		328	1
329		329	0
330		330	0
331		331	0
332		332	0
333		333	0
334		334	0
335		335	1
336		336	1
337		337	0
338		338	0
339		339	0
340		340	1
341		341	0
342		342	0
343		343	1
344		344	1
345		345	0
346		346	0
347		347	0
348		348	1
349		349	0
350		350	0
351		351	0
352		352	1
353		353	0
354		354	0
355		355	0
356		356	1
357		357	0
358		358	1
359		359	0
360		360	0
361		361	0
362		362	1
363		363	1
364		364	0
365		365	0
366		366	0
367		367	0
368		368	1
369		369	1
370		370	1
371		371	1
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	0
378		378	0
379		379	0
380		380	0
381		381	1
382		382	0
383		383	0
384		384	1
385		385	0
386		386	0
387		387	0
388		388	0
389		389	0
390		390	1
391		391	1
392		392	0
393		393	0
394		394	0
395		395	0
396		396	0
397		397	0
398		398	0
399		399	1
400		400	0
401		401	0
402		402	3
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	1
409		409	1
410		410	0
411		411	1
412		412	0
413		413	0
414		414	0
415		415	0
416		416	1
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	1
423		423	0
424		424	1
425		425	0
426		426	0
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	1
438		438	1
439		439	2
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	1
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	1
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	1
