n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	0
30		30	0
31		31	0
32		32	2
33		33	4
34		34	2
35		35	4
36		36	1
37		37	3
38		38	4
39		39	5
40		40	5
41		41	8
42		42	3
43		43	3
44		44	5
45		45	7
46		46	6
47		47	7
48		48	7
49		49	6
50		50	5
51		51	9
52		52	4
53		53	6
54		54	3
55		55	8
56		56	8
57		57	5
58		58	4
59		59	7
60		60	8
61		61	11
62		62	8
63		63	8
64		64	10
65		65	6
66		66	8
67		67	8
68		68	10
69		69	13
70		70	3
71		71	13
72		72	3
73		73	6
74		74	9
75		75	7
76		76	8
77		77	11
78		78	10
79		79	8
80		80	12
81		81	10
82		82	8
83		83	7
84		84	7
85		85	11
86		86	9
87		87	9
88		88	10
89		89	9
90		90	12
91		91	11
92		92	6
93		93	10
94		94	5
95		95	11
96		96	14
97		97	10
98		98	17
99		99	8
100		100	16
101		101	18
102		102	11
103		103	12
104		104	15
105		105	15
106		106	23
107		107	17
108		108	19
109		109	28
110		110	16
111		111	14
112		112	19
113		113	28
114		114	26
115		115	36
116		116	36
117		117	46
118		118	51
119		119	68
120		120	43
121		121	61
122		122	40
123		123	43
124		124	49
125		125	50
126		126	97
127		127	176
128		128	216
129		129	270
130		130	359
131		131	428
132		132	521
133		133	600
134		134	637
135		135	586
136		136	498
137		137	344
138		138	219
139		139	126
140		140	71
141		141	34
142		142	42
143		143	55
144		144	76
145		145	101
146		146	134
147		147	196
148		148	225
149		149	311
150		150	379
151		151	458
152		152	476
153		153	491
154		154	449
155		155	355
156		156	300
157		157	237
158		158	175
159		159	121
160		160	68
161		161	45
162		162	25
163		163	13
164		164	7
165		165	11
166		166	6
167		167	16
168		168	13
169		169	19
170		170	25
171		171	27
172		172	16
173		173	35
174		174	29
175		175	41
176		176	54
177		177	59
178		178	44
179		179	23
180		180	25
181		181	15
182		182	13
183		183	11
184		184	6
185		185	4
186		186	5
187		187	6
188		188	4
189		189	5
190		190	4
191		191	3
192		192	0
193		193	1
194		194	2
195		195	0
196		196	0
197		197	0
198		198	3
199		199	1
200		200	0
201		201	1
202		202	0
203		203	0
204		204	0
205		205	1
206		206	1
207		207	2
208		208	0
209		209	0
210		210	2
211		211	2
212		212	0
213		213	2
214		214	2
215		215	0
216		216	0
217		217	0
218		218	2
219		219	2
220		220	1
221		221	1
222		222	1
223		223	2
224		224	4
225		225	4
226		226	0
227		227	2
228		228	2
229		229	0
230		230	0
231		231	0
232		232	1
233		233	0
234		234	0
235		235	1
236		236	0
237		237	0
238		238	0
239		239	1
240		240	1
241		241	1
242		242	0
243		243	2
244		244	3
245		245	3
246		246	2
247		247	4
248		248	1
249		249	3
250		250	1
251		251	4
252		252	0
253		253	2
254		254	3
255		255	2
256		256	2
257		257	0
258		258	0
259		259	1
260		260	1
261		261	0
262		262	0
263		263	1
264		264	0
265		265	2
266		266	0
267		267	1
268		268	0
269		269	0
270		270	1
271		271	0
272		272	1
273		273	1
274		274	0
275		275	1
276		276	3
277		277	0
278		278	0
279		279	0
280		280	0
281		281	0
282		282	2
283		283	1
284		284	1
285		285	2
286		286	1
287		287	0
288		288	2
289		289	0
290		290	0
291		291	0
292		292	0
293		293	0
294		294	1
295		295	0
296		296	0
297		297	0
298		298	0
299		299	1
300		300	1
301		301	0
302		302	0
303		303	0
304		304	0
305		305	0
306		306	1
307		307	0
308		308	0
309		309	0
310		310	0
311		311	0
312		312	1
313		313	0
314		314	1
315		315	0
316		316	0
317		317	0
318		318	1
319		319	1
320		320	0
321		321	0
322		322	1
323		323	0
324		324	0
325		325	0
326		326	1
327		327	0
328		328	0
329		329	0
330		330	1
331		331	0
332		332	0
333		333	1
334		334	0
335		335	0
336		336	0
337		337	0
338		338	0
339		339	0
340		340	0
341		341	0
342		342	0
343		343	0
344		344	0
345		345	0
346		346	1
347		347	0
348		348	0
349		349	0
350		350	0
351		351	0
352		352	0
353		353	0
354		354	1
355		355	1
356		356	1
357		357	1
358		358	0
359		359	1
360		360	0
361		361	2
362		362	0
363		363	1
364		364	0
365		365	0
366		366	0
367		367	0
368		368	0
369		369	0
370		370	1
371		371	0
372		372	0
373		373	0
374		374	0
375		375	0
376		376	1
377		377	1
378		378	0
379		379	0
380		380	0
381		381	0
382		382	0
383		383	0
384		384	0
385		385	0
386		386	1
387		387	0
388		388	0
389		389	0
390		390	0
391		391	0
392		392	0
393		393	0
394		394	0
395		395	0
396		396	1
397		397	0
398		398	1
399		399	0
400		400	0
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	1
408		408	0
409		409	0
410		410	1
411		411	0
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	1
427		427	0
428		428	0
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	1
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	1
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	1
