n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	2
30		30	4
31		31	1
32		32	6
33		33	7
34		34	12
35		35	11
36		36	10
37		37	14
38		38	17
39		39	20
40		40	18
41		41	15
42		42	16
43		43	19
44		44	23
45		45	24
46		46	25
47		47	16
48		48	19
49		49	20
50		50	29
51		51	21
52		52	22
53		53	33
54		54	31
55		55	23
56		56	24
57		57	15
58		58	25
59		59	21
60		60	37
61		61	29
62		62	25
63		63	29
64		64	38
65		65	29
66		66	32
67		67	32
68		68	23
69		69	29
70		70	32
71		71	36
72		72	28
73		73	32
74		74	28
75		75	32
76		76	32
77		77	39
78		78	29
79		79	41
80		80	39
81		81	30
82		82	36
83		83	37
84		84	30
85		85	35
86		86	42
87		87	43
88		88	42
89		89	33
90		90	41
91		91	48
92		92	43
93		93	46
94		94	41
95		95	46
96		96	64
97		97	39
98		98	50
99		99	56
100		100	53
101		101	41
102		102	45
103		103	57
104		104	46
105		105	61
106		106	64
107		107	54
108		108	56
109		109	47
110		110	70
111		111	73
112		112	55
113		113	64
114		114	80
115		115	77
116		116	65
117		117	77
118		118	70
119		119	70
120		120	85
121		121	73
122		122	80
123		123	101
124		124	100
125		125	139
126		126	154
127		127	201
128		128	308
129		129	415
130		130	634
131		131	912
132		132	1172
133		133	1549
134		134	1857
135		135	2359
136		136	2824
137		137	3047
138		138	2760
139		139	2452
140		140	1822
141		141	1255
142		142	740
143		143	387
144		144	258
145		145	185
146		146	215
147		147	222
148		148	293
149		149	336
150		150	408
151		151	342
152		152	391
153		153	269
154		154	195
155		155	112
156		156	72
157		157	20
158		158	13
159		159	10
160		160	6
161		161	4
162		162	4
163		163	7
164		164	3
165		165	2
166		166	0
167		167	4
168		168	0
169		169	2
170		170	2
171		171	0
172		172	3
173		173	0
174		174	2
175		175	0
176		176	4
177		177	2
178		178	1
179		179	3
180		180	3
181		181	2
182		182	2
183		183	1
184		184	1
185		185	1
186		186	6
187		187	2
188		188	1
189		189	4
190		190	7
191		191	3
192		192	2
193		193	1
194		194	1
195		195	7
196		196	4
197		197	4
198		198	2
199		199	8
200		200	9
201		201	9
202		202	7
203		203	7
204		204	10
205		205	7
206		206	9
207		207	6
208		208	8
209		209	4
210		210	5
211		211	5
212		212	5
213		213	8
214		214	6
215		215	7
216		216	4
217		217	4
218		218	4
219		219	2
220		220	2
221		221	3
222		222	4
223		223	3
224		224	2
225		225	1
226		226	2
227		227	2
228		228	0
229		229	3
230		230	0
231		231	1
232		232	2
233		233	3
234		234	0
235		235	4
236		236	2
237		237	3
238		238	0
239		239	2
240		240	2
241		241	1
242		242	2
243		243	1
244		244	1
245		245	0
246		246	3
247		247	1
248		248	3
249		249	2
250		250	1
251		251	0
252		252	3
253		253	3
254		254	2
255		255	3
256		256	3
257		257	2
258		258	2
259		259	4
260		260	2
261		261	2
262		262	3
263		263	1
264		264	0
265		265	0
266		266	0
267		267	1
268		268	0
269		269	0
270		270	2
271		271	2
272		272	1
273		273	2
274		274	1
275		275	0
276		276	0
277		277	0
278		278	0
279		279	0
280		280	0
281		281	0
282		282	1
283		283	2
284		284	0
285		285	0
286		286	0
287		287	2
288		288	1
289		289	1
290		290	1
291		291	0
292		292	0
293		293	0
294		294	1
295		295	1
296		296	0
297		297	0
298		298	0
299		299	1
300		300	0
301		301	1
302		302	1
303		303	0
304		304	1
305		305	1
306		306	1
307		307	0
308		308	1
309		309	0
310		310	1
311		311	0
312		312	0
313		313	0
314		314	0
315		315	0
316		316	0
317		317	1
318		318	1
319		319	0
320		320	0
321		321	0
322		322	0
323		323	0
324		324	0
325		325	1
326		326	0
327		327	0
328		328	0
329		329	0
330		330	0
331		331	0
332		332	0
333		333	0
334		334	1
335		335	1
336		336	0
337		337	0
338		338	0
339		339	0
340		340	0
341		341	0
342		342	0
343		343	1
344		344	0
345		345	1
346		346	0
347		347	1
348		348	0
349		349	2
350		350	0
351		351	1
352		352	0
353		353	0
354		354	0
355		355	1
356		356	0
357		357	0
358		358	1
359		359	0
360		360	0
361		361	0
362		362	0
363		363	0
364		364	0
365		365	0
366		366	0
367		367	0
368		368	0
369		369	0
370		370	1
371		371	0
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	0
378		378	0
379		379	0
380		380	0
381		381	1
382		382	0
383		383	0
384		384	0
385		385	0
386		386	0
387		387	0
388		388	0
389		389	0
390		390	0
391		391	0
392		392	1
393		393	0
394		394	0
395		395	0
396		396	0
397		397	0
398		398	0
399		399	0
400		400	0
401		401	0
402		402	0
403		403	0
404		404	0
405		405	0
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	0
412		412	0
413		413	0
414		414	0
415		415	0
416		416	0
417		417	0
418		418	0
419		419	0
420		420	1
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	0
427		427	0
428		428	1
429		429	0
430		430	0
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	0
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	0
446		446	0
447		447	0
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	0
470		470	0
471		471	0
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	0
