n_1	N_1	n_2	N_2
0		0	0
1		1	0
2		2	0
3		3	0
4		4	0
5		5	0
6		6	0
7		7	0
8		8	0
9		9	0
10		10	0
11		11	0
12		12	0
13		13	0
14		14	0
15		15	0
16		16	0
17		17	0
18		18	0
19		19	0
20		20	0
21		21	0
22		22	0
23		23	0
24		24	0
25		25	0
26		26	0
27		27	0
28		28	0
29		29	1
30		30	1
31		31	1
32		32	7
33		33	6
34		34	2
35		35	3
36		36	12
37		37	7
38		38	15
39		39	14
40		40	8
41		41	5
42		42	4
43		43	10
44		44	6
45		45	6
46		46	7
47		47	13
48		48	13
49		49	8
50		50	7
51		51	6
52		52	6
53		53	5
54		54	10
55		55	3
56		56	7
57		57	11
58		58	7
59		59	12
60		60	11
61		61	9
62		62	11
63		63	13
64		64	18
65		65	10
66		66	9
67		67	9
68		68	10
69		69	11
70		70	11
71		71	12
72		72	11
73		73	11
74		74	13
75		75	5
76		76	13
77		77	10
78		78	6
79		79	12
80		80	9
81		81	11
82		82	3
83		83	10
84		84	14
85		85	7
86		86	9
87		87	8
88		88	6
89		89	11
90		90	9
91		91	12
92		92	9
93		93	14
94		94	9
95		95	19
96		96	18
97		97	11
98		98	12
99		99	22
100		100	21
101		101	30
102		102	19
103		103	28
104		104	25
105		105	25
106		106	28
107		107	16
108		108	29
109		109	15
110		110	19
111		111	16
112		112	27
113		113	20
114		114	20
115		115	23
116		116	23
117		117	21
118		118	34
119		119	35
120		120	49
121		121	26
122		122	30
123		123	25
124		124	36
125		125	26
126		126	27
127		127	33
128		128	25
129		129	19
130		130	30
131		131	29
132		132	30
133		133	34
134		134	23
135		135	21
136		136	25
137		137	12
138		138	25
139		139	20
140		140	14
141		141	18
142		142	12
143		143	22
144		144	19
145		145	19
146		146	18
147		147	18
148		148	29
149		149	17
150		150	26
151		151	30
152		152	35
153		153	47
154		154	41
155		155	21
156		156	22
157		157	29
158		158	17
159		159	23
160		160	19
161		161	9
162		162	13
163		163	14
164		164	9
165		165	13
166		166	13
167		167	22
168		168	17
169		169	12
170		170	11
171		171	18
172		172	21
173		173	24
174		174	32
175		175	33
176		176	29
177		177	28
178		178	34
179		179	36
180		180	29
181		181	23
182		182	20
183		183	22
184		184	17
185		185	20
186		186	14
187		187	10
188		188	14
189		189	5
190		190	15
191		191	9
192		192	13
193		193	17
194		194	14
195		195	11
196		196	9
197		197	20
198		198	12
199		199	14
200		200	12
201		201	17
202		202	6
203		203	14
204		204	15
205		205	11
206		206	9
207		207	20
208		208	11
209		209	14
210		210	10
211		211	25
212		212	15
213		213	15
214		214	18
215		215	13
216		216	30
217		217	23
218		218	18
219		219	28
220		220	18
221		221	15
222		222	21
223		223	19
224		224	21
225		225	24
226		226	30
227		227	25
228		228	38
229		229	49
230		230	74
231		231	132
232		232	187
233		233	265
234		234	339
235		235	485
236		236	579
237		237	687
238		238	804
239		239	830
240		240	805
241		241	713
242		242	527
243		243	319
244		244	187
245		245	94
246		246	58
247		247	19
248		248	15
249		249	3
250		250	9
251		251	12
252		252	5
253		253	6
254		254	7
255		255	11
256		256	12
257		257	5
258		258	18
259		259	15
260		260	36
261		261	55
262		262	78
263		263	69
264		264	104
265		265	103
266		266	100
267		267	118
268		268	108
269		269	101
270		270	57
271		271	47
272		272	23
273		273	17
274		274	6
275		275	4
276		276	1
277		277	2
278		278	1
279		279	0
280		280	2
281		281	0
282		282	0
283		283	0
284		284	0
285		285	1
286		286	1
287		287	1
288		288	0
289		289	0
290		290	0
291		291	0
292		292	0
293		293	0
294		294	2
295		295	2
296		296	0
297		297	1
298		298	0
299		299	0
300		300	1
301		301	0
302		302	0
303		303	0
304		304	0
305		305	2
306		306	0
307		307	1
308		308	1
309		309	0
310		310	0
311		311	1
312		312	0
313		313	0
314		314	1
315		315	0
316		316	1
317		317	1
318		318	0
319		319	0
320		320	1
321		321	0
322		322	0
323		323	0
324		324	0
325		325	0
326		326	0
327		327	1
328		328	1
329		329	0
330		330	0
331		331	0
332		332	0
333		333	1
334		334	0
335		335	0
336		336	0
337		337	0
338		338	0
339		339	0
340		340	0
341		341	0
342		342	0
343		343	0
344		344	0
345		345	1
346		346	0
347		347	0
348		348	0
349		349	0
350		350	1
351		351	0
352		352	0
353		353	0
354		354	0
355		355	1
356		356	1
357		357	1
358		358	0
359		359	2
360		360	0
361		361	1
362		362	0
363		363	0
364		364	0
365		365	2
366		366	0
367		367	0
368		368	0
369		369	0
370		370	0
371		371	1
372		372	0
373		373	0
374		374	0
375		375	0
376		376	0
377		377	1
378		378	1
379		379	0
380		380	0
381		381	0
382		382	1
383		383	0
384		384	0
385		385	0
386		386	0
387		387	1
388		388	1
389		389	1
390		390	0
391		391	0
392		392	0
393		393	0
394		394	0
395		395	0
396		396	1
397		397	0
398		398	1
399		399	0
400		400	0
401		401	1
402		402	0
403		403	0
404		404	0
405		405	1
406		406	0
407		407	0
408		408	0
409		409	0
410		410	0
411		411	1
412		412	0
413		413	0
414		414	1
415		415	0
416		416	1
417		417	0
418		418	0
419		419	0
420		420	0
421		421	0
422		422	0
423		423	0
424		424	0
425		425	0
426		426	0
427		427	0
428		428	1
429		429	0
430		430	3
431		431	0
432		432	0
433		433	0
434		434	0
435		435	0
436		436	1
437		437	0
438		438	0
439		439	0
440		440	0
441		441	0
442		442	0
443		443	0
444		444	0
445		445	1
446		446	0
447		447	1
448		448	0
449		449	0
450		450	0
451		451	0
452		452	0
453		453	0
454		454	0
455		455	0
456		456	0
457		457	0
458		458	0
459		459	0
460		460	0
461		461	0
462		462	0
463		463	0
464		464	0
465		465	0
466		466	0
467		467	0
468		468	0
469		469	1
470		470	0
471		471	1
472		472	0
473		473	0
474		474	0
475		475	0
476		476	0
477		477	0
478		478	0
479		479	0
480		480	0
481		481	0
482		482	0
483		483	0
484		484	0
485		485	0
486		486	0
487		487	0
488		488	0
489		489	0
490		490	0
491		491	0
492		492	0
493		493	0
494		494	0
495		495	0
496		496	0
497		497	0
498		498	0
499		499	0
500		500	0
501		501	0
502		502	0
503		503	0
504		504	0
505		505	0
506		506	0
507		507	0
508		508	0
509		509	0
510		510	0
511		511	3
