# vim: noet sts=12 ts=12 sw=12
# τ / s	M / V	ΔM / V
0.1e-3	-7.425	0.08
10e-3	-3.475	0.04
20e-3	-0.7875	0.05
30e-3	1.1875	0.05
40e-3	2.38125	0.04
50e-3	3.325	0.06
60e-3	4.08125	0.05
70e-3	4.69375	0.06
80e-3	5.10625	0.05
90e-3	5.44375	0.03
100e-3	5.75625	0.05
110e-3	5.95625	0.03
120e-3	6.16875	0.06
130e-3	6.29375	0.04
140e-3	6.43125	0.04
150e-3	6.53125	0.05
160e-3	6.63125	0.05
170e-3	6.70625	0.06
180e-3	6.80625	0.04
190e-3	6.85625	0.03
200e-3	6.90625	0.05
250e-3	7.00625	0.03
300e-3	7.10625	0.03
350e-3	7.21875	0.08
400e-3	7.28125	0.04
450e-3	7.13875	0.05
500e-3	7.39375	0.06
