# vim: noet sts=12 ts=12 sw=12
# f	A_len	gelb	gelb_err	gruen	gruen_err
21.16129e6	0.50e-6	2.05	0.2	0.325	0.03
21.16129e6	1.00e-6	4.275	0.1	0.656	0.03
21.16129e6	1.50e-6	6.0375	0.3	0.919	0.04
21.16129e6	2.00e-6	7.125	0.1	1.1	0.03
21.16129e6	2.50e-6	7.5375	0.2	1.2155	0.02
21.16129e6	3.00e-6	7.3	0.1	1.11	0.05
21.16129e6	3.50e-6	6.375	0.2	0.955	0.04
21.16129e6	4.00e-6	4.9125	0.2	0.735	0.02
21.16129e6	4.50e-6	2.9	0.2	0.444	0.02
21.16129e6	5.00e-6	0.775	0.2	0.112	0.03
21.16129e6	5.50e-6	1.5625	0.1	-0.2325	0.02
21.16129e6	6.00e-6	3.65	0.2	-0.544	0.01
21.16129e6	6.50e-6	5.437	0.1	-0.81	0.03
21.16129e6	7.00e-6	6.65	0.1	-0.99	0.03
21.16129e6	7.50e-6	7.15	0.2	-1.1	0.03
21.16129e6	8.00e-6	7.15	0.2	-1.1	0.01
21.16129e6	8.50e-6	6.65	0.2	-1.0	0.01
21.16129e6	9.00e-6	5.4	0.3	-0.807	0.01
21.16129e6	9.50e-6	3.7	0.2	-0.533	0.03
21.16129e6	10.00e-6	1.544	0.2	-0.221	0.01
21.16129e6	10.50e-6	0.862	0.2	0.148	0.02
21.16129e6	11.00e-6	3.08	0.2	0.46	0.03
21.16129e6	11.50e-6	5.02	0.1	0.744	0.01
21.16129e6	12.00e-6	6.38	0.1	0.954	0.02
