# vim: noet sts=12 ts=12 sw=12
# τ / s	M / V	ΔM / V
10e-3	2.375	0.15
20e-3	3.6	0.1
30e-3	4.6	0.05
40e-3	5.225	0.05
50e-3	5.675	0.05
60e-3	6.0	0.03
70e-3	6.275	0.07
80e-3	6.475	0.04
90e-3	6.65	0.03
100e-3	6.75	0.04
110e-3	6.875	0.03
120e-3	6.975	0.03
130e-3	7.0375	0.02
140e-3	7.15	0.07
150e-3	7.175	0.03
160e-3	7.1875	0.05
170e-3	7.2375	0.04
180e-3	7.275	0.03
190e-3	7.3125	0.03
200e-3	7.3375	0.04
250e-3	7.425	0.05
300e-3	7.5	0.03
350e-3	7.525	0.03
400e-3	7.575	0.03
450e-3	7.6	0.025
500e-3	7.625	0.02
